gene_id,length,symbol
270058,5051,MAP1S
270066,7207,SLC35E1
270076,2487,GCDH
270084,3211,LPCAT2
270086,7784,OGFOD1
270091,3191,LRRC36
270096,5315,MON1B
270097,3655,VAT1L
270106,778,RPL13
270109,9025,PCNX2
270110,4530,IRF2BP2
270118,6139,MAML2
270120,20389,FAT3
270150,1542,CCDC153
270151,6534,NLRX1
270152,2619,JAML
270156,3343,NKAPD1
270160,2971,RAB39
270162,3425,ELMOD1
270163,11974,MYO9A
270166,3614,CLPX
270190,6823,EPHB1
270192,4734,RAB6B
270198,4320,PFKFB4
270201,4768,KLHL18
270210,6655,ZFP651
270328,2142,GSDMC3
270599,1040,GM648
270624,4176,SPIN4
270627,9049,TAF1
270669,7637,MBTPS2
270672,4348,MAP3K15
270685,4813,MTHFD1L
270711,3714,CALHM4
270757,2328,BPIFC
270802,5850,KICS2
270893,4352,TMEM132E
270906,3827,PRR11
271005,1949,KLHDC1
271036,3716,CATSPERB
271047,2070,SERPINA3B
271127,7390,ADAMTS16
271144,3429,ANKDD1B
271209,6759,RP1L1
271221,2651,RUBCNL
271278,3460,BC024139
271305,8409,PHF21B
271375,1750,CD200R2
271377,8690,ZBTB11
664608,978,RHOX4G
664609,891,RHOX4A
664610,995,RHOX4D
664619,1000,4921533I20RIK
271424,2305,IP6K3
271457,2364,RAB5A
664702,1795,A530088E08RIK
271508,2434,BRD8DC
140474,11347,MUC4
140475,2714,BSND
140476,7799,STRC
140477,6201,DMBX1
140481,9716,MAN2A2
140482,1999,ZFP358
140483,1639,HNMT
140484,10288,POFUT1
140486,8381,IGF2BP1
140488,6568,IGF2BP3
140489,2520,BHLHE23
664779,3350,GM44505
271564,14546,VPS13A
140492,5783,KCNN2
140493,7768,KCNN3
140494,3566,ATP6V0A4
664783,2697,DUX
140491,7120,PPP1R3A
140497,1584,CD300C2
140498,6405,RXFP2
140499,5541,UBE2J2
140500,4419,ACAP3
664793,832,ZP4-PS
664799,3714,CTCFL
664805,3141,SKOR2
664829,924,SLX
140546,4638,ERI3
140557,4040,SMC1B
140559,3056,IGSF8
271639,6818,ADCY10
140570,6957,PLXNB2
140571,6065,PLXNB3
664862,3099,GPR137B-PS
140577,6545,ANKRD6
140579,6264,ELMO2
140580,9053,ELMO1
402728,1731,PAX6OS1
664883,8079,NOVA1
664903,697,RPS15A-PS4
271697,1688,CDK15
402773,10906,D030018L15RIK
140630,9330,UBE4A
140629,3867,UBOX5
271711,2815,TMEM169
664968,1051,TMEM238
664987,625,GM14393
140703,2160,EMID1
664994,1087,ISOC2A
140709,4590,COL26A1
665001,1892,GM14391
271786,7297,GALNT13
665005,3938,GM7444
140721,4722,CASKIN2
140723,5958,CACNG5
140740,7882,SEC63
271813,6519,AGBL2
140741,2874,GPR6
140743,1887,REM2
140742,3339,SESN1
665033,9294,COL6A5
140765,3025,TMPRSS3
271842,5134,RPUSD2
271844,3331,PLA2G4F
271849,9064,SHC4
140780,7819,BMP2K
140781,8817,MYH7
140792,3322,COLEC12
140795,3738,P2RY14
140806,1063,IL25
665095,1520,CYP2J8
140810,11269,TTBK2
271887,4163,RBBP8NL
665113,7580,TNIK
665119,2337,SEC14L5
140858,2900,WDR5
140859,2800,NEK8
665150,933,VMN1R57
665155,3286,SRP54B
271944,1316,C2CD4D
140887,4543,LNX2
665180,1426,CLEC2L
271970,3690,ARSJ
665186,2338,ZPLD2
140904,3036,CALN1
271981,6580,TBCK
140917,8870,DCLRE1B
140918,1727,SLC7A12
140919,4320,SLC17A6
665210,2571,VMN2R91
665211,4725,GM14326
272009,2939,SRSF12
665227,2515,VMN2R94
403088,3110,TCAF3
665239,591,GM7550
272027,4674,TSTD2
272031,5272,PLPPR1
665255,2744,VMN2R28
665268,1809,1600029O15RIK
665270,6754,PLB1
665306,2847,3930402G23RIK
403171,528,BANF2
403172,426,DEFB21
403174,2793,MSANTD1
403175,3459,TIGD4
403178,3981,PLCXD1
403180,1819,CCDC121RT1
403183,3181,METTL21E
403185,3876,CFAP97D2
403187,2260,OPA3
403200,598,LYPD9
403202,2318,A430093F15RIK
403205,819,AGR3
272158,2946,POLN
665376,2571,VMN2R99
665378,4316,GM7609
665389,615,GM7616
665433,1028,H2AC23
665525,897,VMN1R224
272322,1987,ARNTL2
403395,591,CLEC3A
665563,2756,MTHFD2L
272347,6874,ZFP398
272350,1436,GM5065
665574,3833,GM7694
272359,2699,IRF2BP1
665596,2213,H2BC23
272381,2719,LRRC4B
272382,2786,SPIB
272396,4242,TARSL2
665615,685,SMR2L
665622,2213,H2BC24
272411,2367,B3GNT6
272428,3000,ACSM5
272465,1223,TMEM255B
272538,5901,TANGO6
272551,1038,GINS2
665775,12140,BOD1L
665780,1754,ZSCAN4B
272589,5247,TBCEL
665848,1745,ZSCAN4E
272636,4491,ESYT3
272643,1992,PRSS43
272667,2318,SMOK4A
665891,1011,KRTAP4-1
665902,1829,ZSCAN4F
665927,926,DEFA42
665934,1432,GM7854
665943,4246,E330014E10RIK
665976,1689,VMN2R-PS129
665992,630,KRTAP4-8
665998,1058,KRTAP4-9
666002,2571,VMN2R114
272790,2316,MAGEE2
666043,1243,GM7904
666048,6617,TRABD2B
666060,4926,FRMPD1
666085,2421,VMN2R54
666168,2049,CYP4A31
666173,16646,VPS13B
666244,439,TMSB15B1
666279,4995,DSPP
666311,2429,ZSCAN25
666317,706,PRL2C1
404194,2080,GFRAL
404195,1772,CYP2C54
666348,2227,APOL7E
404222,924,OR6K6
404238,939,MRGPRB3
404239,969,MRGPRB5
404240,1123,MRGPRB8
404242,1180,MRGPRX1
666422,1660,GM8096
404284,933,VMN1R59
404285,963,VMN1R64
404286,972,VMN1R179
404288,1157,V1RD18
404289,1088,VMN1R181
404290,1932,VMN1R93
404291,942,VMN1R174
404308,966,OR10AL2
404309,924,OLFR192
404310,927,OR5AC17
404311,918,OLFR209
404314,960,OLFR257
404315,1016,OR2Z8
404316,942,OR1A1
404317,939,OR52J3
404318,948,OR56A3B
404319,1132,OR6S1
404321,939,OR6C206
404322,927,OR8D2
404323,942,OR5AL6
404324,927,OR8K20
666468,2192,ATG4A
404325,948,OR8J3B
404327,981,OR10AG52
404328,996,OR10AG56
404329,939,OR5D43
404330,927,OR4P23
404331,945,OR4A79
404326,942,OR8K36-PS1
404335,981,OR2B7
404336,936,OR2Y10
404337,936,OR2Y13
404339,948,OR5B121
404346,984,OR2W3
666528,5040,ZFP541
404473,990,OR8K35
11287,4681,PZP
11298,1904,AANAT
666661,8431,GM8221
11302,11106,AATK
11303,10260,ABCA1
11304,8695,ABCA4
11305,8061,ABCA2
11306,11522,ABCB7
11307,6325,ABCG1
11308,3678,ABI1
666680,2000,GM8234
404545,3217,ANO7
404549,570,IFNA14
666704,2071,SAMD1
11350,7433,ABL1
11352,19263,ABL2
11354,409,SCGB1B27
11363,1892,ACADL
11364,1845,ACADM
11370,2158,ACADVL
666731,1990,TRIM43C
666737,3736,4632427E13RIK
666744,1240,GM8267
666747,2262,TRIM43B
11409,1837,ACADS
11416,3700,SLC33A1
11418,3789,ASIC2
11419,4496,ASIC1
404634,1910,MACROH2A2
11421,6600,ACE
11423,7455,ACHE
11425,464,APOC4
11426,25459,MACF1
11428,4319,ACO1
11429,2768,ACO2
11430,4502,ACOX1
11431,3221,ACP1
11432,4653,ACP2
11433,1616,ACP5
11434,1773,ACR
11435,4288,CHRNA1
666794,3224,RBM24
11438,4437,CHRNA4
11440,2906,CHRNA6
11441,2091,CHRNA7
11443,2149,CHRNB1
11444,5384,CHRNB2
666806,1872,EIF1AD8
11447,3196,CHRND
11448,1591,CHRNE
11449,3130,CHRNG
11450,1232,ADIPOQ
11451,4253,ACRV1
11459,1433,ACTA1
11461,1889,ACTB
11464,1390,ACTC1
11465,1894,ACTG1
11468,1419,ACTG2
11470,1504,ACTL7A
11471,1421,ACTL7B
11472,3752,ACTN2
11474,3004,ACTN3
11475,2990,ACTA2
11477,3298,ACVR1
11479,3277,ACVR1B
11480,6080,ACVR2A
11481,1997,ACVR2B
11482,3940,ACVRL1
11484,5426,ASPA
11486,1626,ADA
11487,4589,ADAM10
11488,7252,ADAM11
11489,9319,ADAM12
11490,4156,ADAM15
11491,4722,ADAM17
11492,6469,ADAM19
404710,7079,IQGAP3
11495,2551,ADAM2
11496,11238,ADAM22
11497,3026,ADAM3
11498,2330,ADAM4
11499,3129,ADAM5
11500,3841,ADAM7
11501,3319,ADAM8
11502,4214,ADAM9
11504,4885,ADAMTS1
11512,7938,ADCY6
11513,6744,ADCY7
11514,6472,ADCY8
11515,6694,ADCY9
11516,2270,ADCYAP1
11517,6243,ADCYAP1R1
11518,4386,ADD1
11519,5459,ADD2
11520,1887,PLIN2
11522,1334,ADH1
11529,2079,ADH7
11532,1533,ADH5
11534,3720,ADK
11535,1381,ADM
11536,1694,GPR182
11537,1077,CFD
11538,5813,ADNP
11539,6384,ADORA1
11540,2534,ADORA2A
11541,1844,ADORA2B
11542,3012,ADORA3
11544,1583,ADPRH
11545,3827,PARP1
11546,3806,PARP2
11548,4524,ADRA1B
11549,12902,ADRA1A
11550,2394,ADRA1D
11551,7393,ADRA2A
11552,3936,ADRA2B
11553,3198,ADRA2C
11554,2491,ADRB1
11555,2144,ADRB2
11556,3362,ADRB3
666921,1149,GM12886
11564,2109,ADSL
11565,1927,ADSSL1
666926,1374,GM8369
666927,649,GM12887
11566,3802,ADSS
11567,3033,AVIL
11568,4437,AEBP1
11569,8281,AEBP2
11571,1416,CRISP1
11572,1387,CRISP3
11576,2086,AFP
666938,7935,BEND4
666945,1362,GM10638
11593,2611,AGA
11595,7469,ACAN
11596,3042,AGER
11600,5249,ANGPT1
11601,2475,ANGPT2
11602,1530,ANGPT4
11603,8623,AGRN
11604,898,AGRP
11605,3032,GLA
11606,1839,AGT
11607,2284,AGTR1A
11608,2147,AGTR1B
11609,2868,AGTR2
11610,4029,AGTRAP
11611,1517,AGXT
142681,2027,SLC34A3
142682,8365,ZCCHC14
11614,1794,NR0B1
142687,2252,ASB14
142688,2366,ASB13
11622,5494,AHR
11624,9403,AHRR
11625,1474,AHSG
11628,2397,AICDA
11629,1071,AIF1
11630,7416,CRYBG1
11632,1587,AIP
11634,2623,AIRE
11636,2403,AK1
11637,2105,AK2
11639,5539,AK4
11640,4018,AKAP1
11642,3153,AKAP3
11643,2991,AKAP4
11647,2516,ALPL
11648,3030,AKP3
11650,2249,ALPPL2
11651,3597,AKT1
11652,3686,AKT2
11655,2864,ALAS1
11656,2057,ALAS2
11657,2043,ALB
11658,5474,ALCAM
11666,6785,ABCD1
11668,2032,ALDH1A1
11669,2657,ALDH2
11670,1767,ALDH3A1
11671,3131,ALDH3A2
11674,1824,ALDOA
667034,1223,PNP2
11676,1869,ALDOC
11677,1402,AKR1B3
11682,7728,ALK
11684,4401,ALOX12
11685,2309,ALOX12E
11686,2347,ALOX12B
11687,2414,ALOX15
11688,3630,ALOX8
11689,3160,ALOX5
11690,854,ALOX5AP
11692,1775,GFER
11694,1867,ALX3
11695,10294,ALX4
667055,1593,UNC93A2
11698,2092,AMBN
11699,1233,AMBP
667060,2484,VMN2R5
11702,3203,AMD1
667063,419,GM8439
11704,1375,AMELX
11705,1665,AMH
667067,924,VMN1R91
667069,2484,VMN2R6
11717,4769,AMPD3
11720,3208,MAT1A
11722,1822,AMY1
11727,1275,ANG
11730,696,ANG3
11731,438,ANG2
11732,3704,ANK
11733,10483,ANK1
667094,1842,VMN1R252
11735,29038,ANK3
11736,10705,ANKFY1
11737,2089,ANP32A
11739,1672,SLC25A4
11740,1238,SLC25A5
11744,5613,ANXA11
11745,2737,ANXA3
11746,3762,ANXA4
11747,1723,ANXA5
11749,3140,ANXA6
11750,5599,ANXA7
11752,1884,ANXA8
11754,5569,AOC3
11757,1445,PRDX3
11758,2334,PRDX6
667118,5007,ZBED6
11761,4382,AOX1
11764,4397,AP1B1
11765,3618,AP1G1
11766,3016,AP1G2
11767,1964,AP1M1
11768,1881,AP1M2
11769,1277,AP1S1
11770,641,FABP4
11771,3552,AP2A1
11772,5563,AP2A2
11773,2051,AP2M1
11774,4020,AP3B1
11775,5922,AP3B2
11776,4730,AP3D1
11777,1520,AP3S1
11778,5804,AP3S2
667135,1848,VMN1R104
11781,1716,AP4M1
11782,1263,AP4S1
11783,8789,APAF1
11784,3319,APBA2
11785,2751,APBB1
11787,8831,APBB2
11789,13029,APC
11790,13252,SPEG
11792,1185,APEX1
11793,2352,ATG5
11796,3842,BIRC3
11797,3140,BIRC2
11798,10440,XIAP
11799,4053,BIRC5
11800,7824,API5
11801,2037,CD5L
11803,2796,APLP1
11804,4495,APLP2
11806,985,APOA1
11807,521,APOA2
11808,1666,APOA4
11810,2383,APOBEC1
11811,1218,APOBEC2
11812,616,APOC1
11813,763,APOC2
11814,524,APOC3
11815,1928,APOD
11816,1702,APOE
11818,1186,APOH
11819,4870,NR2F2
11820,3357,APP
11821,1331,APRT
667180,2562,VMN2R20
11826,2760,AQP1
11827,1416,AQP2
11828,1763,AQP3
11829,6735,AQP4
11830,1711,AQP5
11831,2846,AQP6
11832,2693,AQP7
11833,1483,AQP8
11834,12539,AQR
11835,2999,AR
11836,7067,ARAF
11837,1360,RPLP0
11838,3194,ARC
11839,1199,AREG
11840,2293,ARF1
11841,2722,ARF2
11842,5008,ARF3
11843,2042,ARF4
11844,933,ARF5
11845,3731,ARF6
11846,1477,ARG1
11847,1417,ARG2
11848,2126,RHOA
11852,2227,RHOB
11853,1056,RHOC
11854,2433,RHOD
667213,642,GM10416
667214,3863,9930111J21RIK1
11855,6715,ARHGAP5
11858,1092,RND2
11856,12375,ARHGAP6
11857,1131,ARHGDIB
11859,1609,PHOX2A
11861,4879,ARL4A
11863,8528,ARNT
11864,6518,ARNT2
11865,6344,ARNTL
11867,1639,ARPC1B
11870,2795,ART1
11871,1308,ART2A
11872,870,ART2B
11875,3211,ART5
11876,3478,ARTN
11877,7393,ARVCF
11878,3013,ARX
667240,945,VMN1R121
11881,5988,ARSB
11883,3491,ARSA
11886,2739,ASAH1
11889,1514,ASGR1
11890,1372,ASGR2
11891,3861,RAB27A
667250,978,GM12657
667256,984,SAMT1B
11898,1703,ASS1
11899,8421,ASTN1
667262,924,VMN1R117
11905,2161,SERPINC1
11906,16439,ZFHX3
11907,4907,ATE1
142980,4591,TLR3
667268,924,VMN1R116
11910,2284,ATF3
11911,1725,ATF4
11908,2329,ATF1
11909,7554,ATF2
667273,888,VMN1R115
667277,2166,C1RB
11920,12404,ATM
11921,2090,ATOH1
667281,1241,H60B
11923,3345,NEUROD4
11922,2153,NEUROD6
11924,2217,NEUROG2
11925,1540,NEUROG3
11927,438,ATOX1
11928,3648,ATP1A1
11931,2422,ATP1B1
11932,2959,ATP1B2
11933,1830,ATP1B3
11936,1017,FXYD2
11937,3440,ATP2A1
11938,5849,ATP2A2
11941,10325,ATP2B2
11944,4003,ATP4A
11945,1658,ATP4B
11946,2979,ATP5A1
11947,1879,ATP5B
11949,1962,ATP5C1
11950,3996,ATP5PB
11951,873,ATP5G1
11957,951,ATP5J
11958,292,ATP5K
11964,7156,ATP6V1A
11966,4407,ATP6V1B2
11972,1617,ATP6V0D1
11973,1204,ATP6V1E1
11974,3393,ATP6V0E
11975,4724,ATP6V0A1
667335,733,GM8579
11977,8326,ATP7A
667338,611,GM8580
11979,4711,ATP7B
11980,9843,ATP8A1
11981,4445,ATP9A
11982,5469,ATP10A
11983,815,ATPIF1
11984,1152,ATP6V0C
11987,7239,SLC7A1
11988,7857,SLC7A2
11989,2371,SLC7A3
11990,8737,ATRN
11991,6810,HNRNPD
11992,7336,AUH
11993,1692,AUP1
11994,19914,PCDH15
11997,1248,AKR1B7
11998,507,AVP
12000,5065,AVPR2
12005,3779,AXIN1
12006,4524,AXIN2
12007,1314,AZGP1
12009,3578,CEP131
667370,2299,IFIT3B
12010,2502,B2M
12012,1946,BAAT
667373,2525,IFIT1BL1
12013,6377,BACH1
12014,10425,BACH2
12015,1480,BAD
12017,1349,BAG1
12018,2022,BAK1
12020,1472,NKX3-2
12021,5448,BARD1
12022,1361,BARX1
12023,1791,BARX2
12028,1425,BAX
12029,3426,BCL6B
12031,166,BC1-PS1
12032,4396,BCAN
12033,2126,BCAP29
12034,2042,PHB2
12035,8410,BCAT1
12036,2904,BCAT2
12038,8134,BCHE
12039,1773,BCKDHA
12040,1606,BCKDHB
12041,2857,BCKDK
12042,4116,BCL10
12043,9724,BCL2
12044,796,BCL2A1A
12045,764,BCL2A1B
12046,444,BCL2A1C
12047,796,BCL2A1D
12048,5185,BCL2L1
12049,1228,BCL2L10
667410,2065,GM8615
12050,7172,BCL2L2
12051,2304,BCL3
12053,3285,BCL6
12054,1936,BCL7B
12055,4804,BCL7C
12057,2461,OPN1SW
12061,1338,BDKRB1
12062,1680,BDKRB2
12064,6948,BDNF
12068,1466,BET1
12069,902,BEX2
12070,2319,BEX3
12075,2498,BFSP1
12091,7896,GLB1
12095,1498,BGLAP3
12096,682,BGLAP
12097,471,BGLAP2
667464,1836,VMN1R142
667469,924,VMN1R143
12111,5060,BGN
12116,5679,BHMT
12121,11756,BICD1
12122,3573,BID
12123,5366,HRK
12124,1413,BIK
12125,10844,BCL2L11
667485,1836,VMN1R254
12140,762,FABP7
12142,5686,PRDM1
12143,2475,BLK
12144,5478,BLM
12145,2634,CXCR5
12151,3696,BMI1
667512,924,VMN1R255
12153,6490,BMP1
12154,1317,BMP10
12155,3063,BMP15
12156,2515,BMP2
12159,1993,BMP4
12160,2528,BMP5
12161,2410,BMP6
12162,2508,BMP7
12163,2062,BMP8A
12164,3508,BMP8B
12165,2988,GDF2
12166,5884,BMPR1A
12167,5933,BMPR1B
12168,3507,BMPR2
12169,3005,BMX
667530,924,VMN1R155
12173,4663,BNC1
12175,6333,BNIP2
12176,1756,BNIP3
12177,3279,BNIP3L
12180,3890,SMYD1
12181,2476,BOP1
12182,2580,BST1
12183,3862,BPGM
12189,8621,BRCA1
12190,12091,BRCA2
667551,1788,VMN1R157
12192,2984,ZFP36L1
12193,3532,ZFP36L2
12209,2772,BRS3
12211,23568,BIRC6
12212,7401,CHIC1
667572,1206,GM8709
12215,1752,BSG
12217,15937,BSN
12223,2795,BTC
12224,3639,KLF5
12226,5008,BTG1
12227,3083,BTG2
12228,1403,BTG3
12229,2535,BTK
12231,4610,BTN1A1
12234,12154,BTRC
12235,5131,BUB1
12236,3669,BUB1B
12237,2055,BUB3
12238,881,COMMD3
667599,1848,VMN1R260
12257,856,TSPO
12258,1921,SERPING1
12259,1082,C1QA
12260,1061,C1QB
12261,1165,C1QBP
12262,1054,C1QC
12263,2644,C2
12265,9591,CIITA
12266,5133,C3
12267,4299,C3AR1
12268,5500,C4B
12269,1883,C4BP
12270,754,C4BP-PS1
12273,2675,C5AR1
12274,3019,C6
12279,1767,C9
12282,5259,HYOU1
12283,3917,CAB39
12286,11393,CACNA1A
12287,10493,CACNA1B
12288,9643,CACNA1C
12289,12470,CACNA1D
12290,12697,CACNA1E
12291,9428,CACNA1G
12292,6496,CACNA1S
12293,13023,CACNA2D1
12294,3695,CACNA2D3
12295,2718,CACNB1
12296,6809,CACNB2
12297,3873,CACNB3
12298,8572,CACNB4
12299,1203,CACNG1
12300,2887,CACNG2
12301,1446,CACYBP
667663,6067,MYO3A
12304,2481,PDIA4
12305,4127,DDR1
12306,2701,ANXA2
12307,2867,CALB1
12308,1737,CALB2
12309,732,S100G
667666,4302,ZFP600
12311,3864,CALCR
12310,1489,CALCA
12313,4001,CALM1
12314,1216,CALM2
12315,2208,CALM3
12316,11931,ASPM
12317,1943,CALR
12319,5722,CAR8
12321,3410,CALU
12322,7491,CAMK2A
12323,8537,CAMK2B
12325,3703,CAMK2G
12326,12331,CAMK4
12328,1387,CAML
12330,4611,CANX
12331,5094,CAP1
12332,1249,CAPG
12333,3467,CAPN1
12334,5229,CAPN2
12335,4277,CAPN3
12336,1476,CAPNS1
12337,4470,CAPN5
12338,7968,CAPN6
12339,4835,CAPN7
12340,3187,CAPZA1
12343,5358,CAPZA2
12344,1262,CAPZA3
12345,2469,CAPZB
12346,1309,CAR1
667705,1268,GM8773
12348,1440,CAR11
12349,1790,CAR2
12350,2830,CAR3
12351,1300,CAR4
12352,1239,CAR5A
12353,1741,CAR6
12354,2118,CAR7
12355,3645,NR1I3
12359,2551,CAT
12361,8774,CASK
12362,1513,CASP1
12363,3522,CASP4
12364,4482,CASP12
12365,2331,CASP14
12366,3584,CASP2
12367,2437,CASP3
12368,1455,CASP6
12369,2502,CASP7
12370,2777,CASP8
12371,7444,CASP9
12372,2024,CASQ1
12373,2468,CASQ2
12374,4534,CASR
12380,5040,CAST
667742,12961,PIEZO2
12385,4693,CTNNA1
12386,4130,CTNNA2
12387,4572,CTNNB1
12388,8957,CTNND1
12389,2810,CAV1
12390,3263,CAV2
12391,1157,CAV3
12393,8035,RUNX2
667754,1963,CES2D-PS
12395,8123,RUNX1T1
12396,8308,CBFA2T2
12394,11184,RUNX1
12398,7964,CBFA2T3
12399,4452,RUNX3
12400,3009,CBFB
12401,1462,SERPINA6
12402,5164,CBL
12404,2634,CBLN1
12405,2685,CBLN2
667766,1867,GM8801
12406,2715,SERPINH1
12408,1081,CBR1
12409,1021,CBR2
12411,2742,CBS
12412,3284,CBX1
667772,6340,MYH15
12416,3740,CBX2
12417,1803,CBX3
12418,5434,CBX4
12419,11081,CBX5
667780,3975,GM13871
12421,10943,RB1CC1
12424,849,CCK
12425,2929,CCKAR
