,term,variable,value,p,padj,q
448,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.21618258755712488,0.21618258755712488,0.39777596110510977,0.07442741614197695
452,KEGG_MM_GLUCAGON_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.33708639777575716,0.33708639777575716,0.4405106334569554,0.08623977948517594
453,KEGG_MM_GLUTATHIONE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.20517780108073316,0.20517780108073316,0.39992283261498834,0.07442741614197695
455,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,5BH_diffexpr-nonnaive-cluster9,0.22703721631646218,0.22703721631646218,0.4016812288675869,0.07442741614197695
456,KEGG_MM_HIF-1_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.3687490510077671,0.3687490510077671,0.4584447661177645,0.09060173243434083
457,KEGG_MM_IL-17_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.2689941292312749,0.2689941292312749,0.3915737324252736,0.07667152744395984
458,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.28414248409619264,0.28414248409619264,0.40093724749769516,0.07923661017741011
460,KEGG_MM_METABOLIC_PATHWAYS,5BH_diffexpr-nonnaive-cluster9,0.7159440468357852,0.7159440468357852,0.7451001392408624,0.14725299194483446
461,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,5BH_diffexpr-nonnaive-cluster9,0.09274071109163813,0.09274071109163813,0.31836363509069804,0.060811136059647664
462,KEGG_MM_NUCLEOTIDE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.33243725122550477,0.33243725122550477,0.436917530182092,0.08623977948517594
463,KEGG_MM_PROPANOATE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.153742559456482,0.153742559456482,0.3722188281577985,0.0715516420697029
464,KEGG_MM_PURINE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.38185818644683994,0.38185818644683994,0.467166930227517,0.092325480282118
466,KEGG_MM_PYRUVATE_METABOLISM,5BH_diffexpr-nonnaive-cluster9,0.17699540178883758,0.17699540178883758,0.3769346519577097,0.07442741614197695
470,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.4114120599485588,0.4114120599485588,0.4928373634800444,0.0972271632479559
471,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,5BH_diffexpr-nonnaive-cluster9,0.07360954883862013,0.07360954883862013,0.29702098654180054,0.058109953780287625
472,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,5BH_diffexpr-nonnaive-cluster9,0.09903084482387388,0.09903084482387388,0.32538706156415703,0.060811136059647664
473,KEGG_MM_TGF-BETA_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.22162854485211972,0.22162854485211972,0.3982387915311526,0.07442741614197695
474,KEGG_MM_MTOR_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.48839355679429164,0.48839355679429164,0.5616525903134354,0.11099853563506629
488,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BI_diffexpr-nonnaive-cluster10,0.18331298978186897,0.18331298978186897,0.3832907968166351,0.07442741614197695
536,KEGG_MM_APELIN_SIGNALING_PATHWAY,5BI_diffexpr-nonnaive-cluster10,0.15384361992676865,0.15384361992676865,0.36478384106347206,0.0715516420697029
537,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,5BI_diffexpr-nonnaive-cluster10,0.17555194460726442,0.17555194460726442,0.37735464728664314,0.07442741614197695
538,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,5BI_diffexpr-nonnaive-cluster10,0.1578308294577781,0.1578308294577781,0.36301090775288963,0.0715994443397376
549,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.039388276499026306,0.039388276499026306,0.24484604310205543,0.04617139697983583
550,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,5BJ_diffexpr-nonnaive-cluster11,0.025383961344573984,0.025383961344573984,0.22455042727892371,0.044274466437143764
551,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.34849293843564383,0.34849293843564383,0.44283633060882915,0.0875170613851441
552,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.10195708616553237,0.10195708616553237,0.30855433971147955,0.060979118520055255
553,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,5BJ_diffexpr-nonnaive-cluster11,0.6757747600153621,0.6757747600153621,0.7195749759422837,0.14218195592053884
554,KEGG_MM_RAS_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.049847654535627846,0.049847654535627846,0.23885334464988342,0.04646036158641139
555,KEGG_MM_TNF_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.028434956814694747,0.028434956814694747,0.23357285954927828,0.044274466437143764
556,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.1893368252241135,0.1893368252241135,0.3853758389517354,0.07442741614197695
579,KEGG_MM_IL-17_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.1526240172577557,0.1526240172577557,0.3734417443540831,0.0715516420697029
582,KEGG_MM_METABOLIC_PATHWAYS,5BJ_diffexpr-nonnaive-cluster11,0.9624002720215965,0.9624002720215965,0.9751192183478731,0.192711307973888
597,KEGG_MM_APELIN_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.23021607734623284,0.23021607734623284,0.39514699843010115,0.07442741614197695
600,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,5BJ_diffexpr-nonnaive-cluster11,0.21294790177439585,0.21294790177439585,0.4014591590828774,0.07442741614197695
601,KEGG_MM_NITROGEN_METABOLISM,5BJ_diffexpr-nonnaive-cluster11,0.014582772986904628,0.014582772986904628,0.19729634041106262,0.0388591478299486
610,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.24562690212448646,0.24562690212448646,0.37662791659087924,0.07442741614197695
613,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.01207897297509839,0.01207897297509839,0.21370490648250998,0.036847703074639165
614,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,5BK_diffexpr-nonnaive-cluster12,0.258171149344768,0.258171149344768,0.38810042058363814,0.07600968218324991
615,KEGG_MM_RAS_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.0402596802574251,0.0402596802574251,0.23742888356943007,0.04617139697983583
616,KEGG_MM_TNF_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.2100717500026089,0.2100717500026089,0.39930993802148795,0.07442741614197695
620,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.022810232563161524,0.022810232563161524,0.21859806206363128,0.04320119803629077
621,KEGG_MM_RAP1_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.23562965186363566,0.23562965186363566,0.39271608643939276,0.07442741614197695
622,KEGG_MM_PROLACTIN_SIGNALING_PATHWAY,5BK_diffexpr-nonnaive-cluster12,0.11972099885829206,0.11972099885829206,0.32780749687389493,0.06478409029128358
643,KEGG_MM_METABOLIC_PATHWAYS,5BK_diffexpr-nonnaive-cluster12,0.7801815217325316,0.7801815217325316,0.8046715246568712,0.15902599301519196
654,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,5BK_diffexpr-nonnaive-cluster12,0.035277456066479036,0.035277456066479036,0.23864161456735816,0.04617139697983583
655,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,5BK_diffexpr-nonnaive-cluster12,0.047804247848119,0.047804247848119,0.2339356809588802,0.04623234801558898
662,KEGG_MM_NITROGEN_METABOLISM,5BK_diffexpr-nonnaive-cluster12,0.012970391482272987,0.012970391482272987,0.18644937755767418,0.036847703074639165
671,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.04346377712475223,0.04346377712475223,0.23801592234983365,0.04617139697983583
673,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.3638476728945796,0.3638476728945796,0.4548095911182245,0.08988331840281118
674,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.11162120262013504,0.11162120262013504,0.32091095753288823,0.06342113785234946
677,KEGG_MM_TNF_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.2443025942267876,0.2443025942267876,0.3771113870614842,0.07442741614197695
679,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,5BL_diffexpr-nonnaive-cluster13,0.04176461406843768,0.04176461406843768,0.24014653089351662,0.04617139697983583
680,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.2172851537923993,0.2172851537923993,0.3935085462382034,0.07442741614197695
681,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.2443025942267876,0.2443025942267876,0.3771113870614842,0.07442741614197695
682,KEGG_MM_RAP1_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.27325732381027285,0.27325732381027285,0.38795792886643676,0.07667152744395984
711,KEGG_MM_RNA_DEGRADATION,5BL_diffexpr-nonnaive-cluster13,0.2294070562255583,0.2294070562255583,0.39671896941261964,0.07442741614197695
719,KEGG_MM_APELIN_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.2413460924848559,0.2413460924848559,0.3854833421633115,0.07442741614197695
720,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.27325732381027285,0.27325732381027285,0.38795792886643676,0.07667152744395984
721,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.03224227605288924,0.03224227605288924,0.23921688684401696,0.04617139697983583
724,KEGG_MM_ALDOSTERONE_SYNTHESIS_AND_SECRETION,5BL_diffexpr-nonnaive-cluster13,0.1538359145170982,0.1538359145170982,0.3685652118638811,0.0715516420697029
725,KEGG_MM_CAMP_SIGNALING_PATHWAY,5BL_diffexpr-nonnaive-cluster13,0.2675541660038067,0.2675541660038067,0.3919583323622646,0.07667152744395984
734,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.14319224383908688,0.14319224383908688,0.3579806095977172,0.07074715604697969
741,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.0030178025490644584,0.0030178025490644584,0.08676182328560318,0.017146605392411696
743,KEGG_MM_RAP1_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.10331833097936415,0.10331833097936415,0.3086131964318669,0.060990750282977665
745,KEGG_MM_AMPK_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.0936906186555204,0.0936906186555204,0.3168947395701425,0.060811136059647664
750,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.08396756359694392,0.08396756359694392,0.31149257463382424,0.060811136059647664
758,KEGG_MM_GLUTATHIONE_METABOLISM,5BM_diffexpr-nonnaive-cluster14,0.04283337561093406,0.04283337561093406,0.24028479001255693,0.04617139697983583
765,KEGG_MM_METABOLIC_PATHWAYS,5BM_diffexpr-nonnaive-cluster14,0.693722575623912,0.693722575623912,0.7285670885547935,0.143985590623477
767,KEGG_MM_NUCLEOTIDE_METABOLISM,5BM_diffexpr-nonnaive-cluster14,0.074148301023647,0.074148301023647,0.29403636612825534,0.058109953780287625
769,KEGG_MM_PURINE_METABOLISM,5BM_diffexpr-nonnaive-cluster14,0.08762493695897873,0.08762493695897873,0.3100574692394632,0.060811136059647664
770,KEGG_MM_PYRIMIDINE_METABOLISM,5BM_diffexpr-nonnaive-cluster14,0.052958939203684996,0.052958939203684996,0.23883443170289312,0.04646036158641139
774,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.0864073129142674,0.0864073129142674,0.3105262807856485,0.060811136059647664
775,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,5BM_diffexpr-nonnaive-cluster14,0.09610645149319488,0.09610645149319488,0.32035483831064965,0.060811136059647664
856,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BO_diffexpr-nonnaive-cluster16,0.2393334615150521,0.2393334615150521,0.390402100343702,0.07442741614197695
860,KEGG_MM_TNF_SIGNALING_PATHWAY,5BO_diffexpr-nonnaive-cluster16,0.1558394764278129,0.1558394764278129,0.36205130887269665,0.0715516420697029
861,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BO_diffexpr-nonnaive-cluster16,0.007741864389876228,0.007741864389876228,0.14838573413929437,0.029325243901046318
863,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BO_diffexpr-nonnaive-cluster16,0.13771347226722183,0.13771347226722183,0.3558887485557418,0.07033374477386202
