,term,variable,value,p,padj
64,Vitamin B6 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
65,Taurine and hypotaurine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
66,Phosphatidylinositol phosphate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
67,"Transport, mitochondrial",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
68,Nucleotide sugar metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
69,Alkaloid synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
70,CoA synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
71,"Stilbene, coumarine and lignin synthesis",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
72,O-glycan synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
73,Ubiquinone synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
74,CoA catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
75,Citric acid cycle,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
76,"Transport, lysosomal",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
77,Vitamin B12 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
78,N-glycan synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
79,D-alanine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
80,Thiamine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
81,Fatty acid oxidation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
82,Nucleotide interconversion,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
83,Keratan sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
84,Sphingolipid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
85,Tyrosine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
86,Keratan sulfate synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
87,Steroid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
88,Chondroitin synthesis,5BB_diffexpr-nonnaive-cluster2,0.11810052241023898,0.11810052241023898,0.18031419046563274
89,Tryptophan metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
90,Glycerophospholipid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
91,Inositol phosphate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
92,Folate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
93,"Valine, leucine, and isoleucine metabolism",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
94,Chondroitin sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
95,Cholesterol metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
96,Arginine and Proline Metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
97,Bile acid synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
98,Fatty acid synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
99,"Glycine, serine, alanine and threonine metabolism",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
100,Pyrimidine catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
101,Blood group synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
102,Pyruvate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
103,Aminosugar metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
104,Heparan sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
105,Urea cycle,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
106,Purine catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
107,Eicosanoid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
108,Methionine and cysteine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
109,Lysine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
110,Starch and sucrose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
111,Pentose phosphate pathway,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
112,NAD metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
113,Vitamin A metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
114,beta-Alanine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
115,Triacylglycerol synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
116,Glyoxylate and dicarboxylate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
117,Glutamate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
118,Alanine and aspartate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
119,Histidine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
120,Selenoamino acid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
121,Tetrahydrobiopterin metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
122,Glutathione metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
123,Propanoate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
124,Biotin metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
125,Limonene and pinene degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
126,Phenylalanine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
127,ROS detoxification,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
128,Glycolysis/gluconeogenesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
129,Pyrimidine synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
130,Heme synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
131,Galactose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
132,Purine synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
133,"Transport, extracellular",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
134,Miscellaneous,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
135,Hyaluronan metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
136,Fructose and mannose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
137,C5-branched dibasic acid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
138,Oxidative phosphorylation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
139,N-glycan degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
140,Nucleotide salvage pathway,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
141,Vitamin B2 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
142,Butanoate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
143,Vitamin C metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
144,Cytochrome metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
145,Vitamin B6 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
146,Taurine and hypotaurine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
147,Phosphatidylinositol phosphate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
148,"Transport, mitochondrial",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
149,Nucleotide sugar metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
150,Alkaloid synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
151,CoA synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
152,"Stilbene, coumarine and lignin synthesis",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
153,O-glycan synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
154,Ubiquinone synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
155,CoA catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
156,Citric acid cycle,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
157,"Transport, lysosomal",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
158,Vitamin B12 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
159,N-glycan synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
160,D-alanine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
161,Thiamine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
162,Fatty acid oxidation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
163,Nucleotide interconversion,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
164,Keratan sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
165,Sphingolipid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
166,Tyrosine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
167,Keratan sulfate synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
168,Steroid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
169,Chondroitin synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
170,Tryptophan metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
171,Glycerophospholipid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
172,Inositol phosphate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
173,Folate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
174,"Valine, leucine, and isoleucine metabolism",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
175,Chondroitin sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
176,Cholesterol metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
177,Arginine and Proline Metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
178,Bile acid synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
179,Fatty acid synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
180,"Glycine, serine, alanine and threonine metabolism",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
181,Pyrimidine catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
182,Blood group synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
183,Pyruvate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
184,Aminosugar metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
185,Heparan sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
186,Urea cycle,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
187,Purine catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
188,Eicosanoid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
189,Methionine and cysteine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
190,Lysine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
191,Starch and sucrose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
192,Pentose phosphate pathway,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
193,NAD metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
194,Vitamin A metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
195,beta-Alanine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
196,Triacylglycerol synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
197,Glyoxylate and dicarboxylate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
198,Glutamate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
199,Alanine and aspartate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
200,Histidine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
201,Selenoamino acid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
202,Tetrahydrobiopterin metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
203,Glutathione metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
204,Propanoate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
205,Biotin metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
206,Limonene and pinene degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
207,Phenylalanine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
208,ROS detoxification,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
209,Glycolysis/gluconeogenesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
210,Pyrimidine synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
211,Heme synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
212,Galactose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
213,Purine synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
214,"Transport, extracellular",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
215,Miscellaneous,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
216,Hyaluronan metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
217,Fructose and mannose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
218,C5-branched dibasic acid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
219,Oxidative phosphorylation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
220,N-glycan degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
221,Nucleotide salvage pathway,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
222,Vitamin B2 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
223,Butanoate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
224,Vitamin C metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
225,Cytochrome metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
226,Vitamin B6 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
227,Taurine and hypotaurine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
228,Phosphatidylinositol phosphate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
229,"Transport, mitochondrial",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
230,Nucleotide sugar metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
231,Alkaloid synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
232,CoA synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
233,"Stilbene, coumarine and lignin synthesis",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
234,O-glycan synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
235,Ubiquinone synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
236,CoA catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
237,Citric acid cycle,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
238,"Transport, lysosomal",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
239,Vitamin B12 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
240,N-glycan synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
241,D-alanine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
242,Thiamine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
243,Fatty acid oxidation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
244,Nucleotide interconversion,5BD_diffexpr-nonnaive-cluster4,0.029788011585114443,0.029788011585114443,0.05355578251108777
245,Keratan sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
246,Sphingolipid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
247,Tyrosine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
248,Keratan sulfate synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
249,Steroid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
250,Chondroitin synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
251,Tryptophan metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
252,Glycerophospholipid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
253,Inositol phosphate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
254,Folate metabolism,5BD_diffexpr-nonnaive-cluster4,0.1719935169673127,0.1719935169673127,0.3317017827226745
255,"Valine, leucine, and isoleucine metabolism",5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
256,Chondroitin sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
257,Cholesterol metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
258,Arginine and Proline Metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
259,Bile acid synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
260,Fatty acid synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
261,"Glycine, serine, alanine and threonine metabolism",5BD_diffexpr-nonnaive-cluster4,0.3262322523224913,0.3262322523224913,0.62680578817018
262,Pyrimidine catabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
263,Blood group synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
264,Pyruvate metabolism,5BD_diffexpr-nonnaive-cluster4,0.4228416478696248,0.4228416478696248,0.8258290559281124
265,Aminosugar metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
266,Heparan sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
267,Urea cycle,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
268,Purine catabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
269,Eicosanoid metabolism,5BD_diffexpr-nonnaive-cluster4,0.2782884241549339,0.2782884241549339,0.5469806957528011
270,Methionine and cysteine metabolism,5BD_diffexpr-nonnaive-cluster4,0.29058321484820376,0.29058321484820376,0.5718766849761964
271,Lysine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
272,Starch and sucrose metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
273,Pentose phosphate pathway,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
274,NAD metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
275,Vitamin A metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
276,beta-Alanine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
277,Triacylglycerol synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
278,Glyoxylate and dicarboxylate metabolism,5BD_diffexpr-nonnaive-cluster4,0.3922751644329468,0.3922751644329468,0.7344421874237288
279,Glutamate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
280,Alanine and aspartate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
281,Histidine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
282,Selenoamino acid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
283,Tetrahydrobiopterin metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
284,Glutathione metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
285,Propanoate metabolism,5BD_diffexpr-nonnaive-cluster4,0.2530598735835111,0.2530598735835111,0.4850051624471029
286,Biotin metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
287,Limonene and pinene degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
288,Phenylalanine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
289,ROS detoxification,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
290,Glycolysis/gluconeogenesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
291,Pyrimidine synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
292,Heme synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
293,Galactose metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
294,Purine synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
295,"Transport, extracellular",5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
