,term,variable,value,p,padj
64,Phosphatidylinositol phosphate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
65,"Transport, mitochondrial",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
66,Nucleotide sugar metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
67,CoA synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
68,O-glycan synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
69,Ubiquinone synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
70,CoA catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
71,Citric acid cycle,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
72,"Transport, lysosomal",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
73,Vitamin B12 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
74,N-glycan synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
75,Thiamine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
76,Fatty acid oxidation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
77,Nucleotide interconversion,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
78,Keratan sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
79,Sphingolipid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
80,Tyrosine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
81,Keratan sulfate synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
82,Steroid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
83,Chondroitin synthesis,5BB_diffexpr-nonnaive-cluster2,0.05691741442976808,0.05691741442976808,0.0868802816454388
84,Tryptophan metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
85,Glycerophospholipid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
86,Inositol phosphate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
87,Folate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
88,"Valine, leucine, and isoleucine metabolism",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
89,Chondroitin sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
90,Cholesterol metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
91,Arginine and Proline Metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
92,Fatty acid synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
93,"Glycine, serine, alanine and threonine metabolism",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
94,Pyrimidine catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
95,Blood group synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
96,Pyruvate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
97,Aminosugar metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
98,Heparan sulfate degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
99,Urea cycle,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
100,Purine catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
101,Eicosanoid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
102,Methionine and cysteine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
103,Lysine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
104,Starch and sucrose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
105,Pentose phosphate pathway,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
106,NAD metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
107,Vitamin A metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
108,beta-Alanine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
109,Triacylglycerol synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
110,Glyoxylate and dicarboxylate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
111,Glutamate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
112,Alanine and aspartate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
113,Histidine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
114,Selenoamino acid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
115,Tetrahydrobiopterin metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
116,Glutathione metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
117,Propanoate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
118,Biotin metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
119,Limonene and pinene degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
120,Phenylalanine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
121,ROS detoxification,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
122,Glycolysis/gluconeogenesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
123,Pyrimidine synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
124,Heme synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
125,Galactose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
126,Purine synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
127,"Transport, extracellular",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
128,Miscellaneous,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
129,Hyaluronan metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
130,Fructose and mannose metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
131,C5-branched dibasic acid metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
132,Oxidative phosphorylation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
133,N-glycan degradation,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
134,Nucleotide salvage pathway,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
135,Vitamin B2 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
136,Butanoate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
137,Vitamin C metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
138,Vitamin B6 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
139,Taurine and hypotaurine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
140,Phosphatidylinositol phosphate metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
141,"Transport, mitochondrial",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
142,Nucleotide sugar metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
143,CoA synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
144,O-glycan synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
145,Ubiquinone synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
146,CoA catabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
147,Citric acid cycle,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
148,"Transport, lysosomal",5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
149,Vitamin B12 metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
150,N-glycan synthesis,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
151,Thiamine metabolism,5BB_diffexpr-nonnaive-cluster2,1.0,1.0,1.0
152,Fatty acid oxidation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
153,Nucleotide interconversion,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
154,Keratan sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
155,Sphingolipid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
156,Tyrosine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
157,Keratan sulfate synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
158,Steroid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
159,Chondroitin synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
160,Tryptophan metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
161,Glycerophospholipid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
162,Inositol phosphate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
163,Folate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
164,"Valine, leucine, and isoleucine metabolism",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
165,Chondroitin sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
166,Cholesterol metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
167,Arginine and Proline Metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
168,Fatty acid synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
169,"Glycine, serine, alanine and threonine metabolism",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
170,Pyrimidine catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
171,Blood group synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
172,Pyruvate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
173,Aminosugar metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
174,Heparan sulfate degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
175,Urea cycle,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
176,Purine catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
177,Eicosanoid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
178,Methionine and cysteine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
179,Lysine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
180,Starch and sucrose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
181,Pentose phosphate pathway,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
182,NAD metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
183,Vitamin A metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
184,beta-Alanine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
185,Triacylglycerol synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
186,Glyoxylate and dicarboxylate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
187,Glutamate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
188,Alanine and aspartate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
189,Histidine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
190,Selenoamino acid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
191,Tetrahydrobiopterin metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
192,Glutathione metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
193,Propanoate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
194,Biotin metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
195,Limonene and pinene degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
196,Phenylalanine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
197,ROS detoxification,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
198,Glycolysis/gluconeogenesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
199,Pyrimidine synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
200,Heme synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
201,Galactose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
202,Purine synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
203,"Transport, extracellular",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
204,Miscellaneous,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
205,Hyaluronan metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
206,Fructose and mannose metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
207,C5-branched dibasic acid metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
208,Oxidative phosphorylation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
209,N-glycan degradation,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
210,Nucleotide salvage pathway,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
211,Vitamin B2 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
212,Butanoate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
213,Vitamin C metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
214,Vitamin B6 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
215,Taurine and hypotaurine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
216,Phosphatidylinositol phosphate metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
217,"Transport, mitochondrial",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
218,Nucleotide sugar metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
219,CoA synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
220,O-glycan synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
221,Ubiquinone synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
222,CoA catabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
223,Citric acid cycle,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
224,"Transport, lysosomal",5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
225,Vitamin B12 metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
226,N-glycan synthesis,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
227,Thiamine metabolism,5BC_diffexpr-nonnaive-cluster3,1.0,1.0,1.0
228,Fatty acid oxidation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
229,Nucleotide interconversion,5BD_diffexpr-nonnaive-cluster4,0.0018243339301697754,0.0018243339301697754,0.0032765400437377557
230,Keratan sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
231,Sphingolipid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
232,Tyrosine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
233,Keratan sulfate synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
234,Steroid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
235,Chondroitin synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
236,Tryptophan metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
237,Glycerophospholipid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
238,Inositol phosphate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
239,Folate metabolism,5BD_diffexpr-nonnaive-cluster4,0.11314959179025529,0.11314959179025529,0.2181415361083159
240,"Valine, leucine, and isoleucine metabolism",5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
241,Chondroitin sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
242,Cholesterol metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
243,Arginine and Proline Metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
244,Fatty acid synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
245,"Glycine, serine, alanine and threonine metabolism",5BD_diffexpr-nonnaive-cluster4,0.15765685728183226,0.15765685728183226,0.3064017522408692
246,Pyrimidine catabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
247,Blood group synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
248,Pyruvate metabolism,5BD_diffexpr-nonnaive-cluster4,0.2269548837017326,0.2269548837017326,0.4428687190071647
249,Aminosugar metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
250,Heparan sulfate degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
251,Urea cycle,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
252,Purine catabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
253,Eicosanoid metabolism,5BD_diffexpr-nonnaive-cluster4,0.08218724000189073,0.08218724000189073,0.1614671762758234
254,Methionine and cysteine metabolism,5BD_diffexpr-nonnaive-cluster4,0.2269548837017326,0.2269548837017326,0.44648889927152846
255,Lysine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
256,Starch and sucrose metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
257,Pentose phosphate pathway,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
258,NAD metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
259,Vitamin A metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
260,beta-Alanine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
261,Triacylglycerol synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
262,Glyoxylate and dicarboxylate metabolism,5BD_diffexpr-nonnaive-cluster4,0.18608760346883738,0.18608760346883738,0.34852204852010527
263,Glutamate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
264,Alanine and aspartate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
265,Histidine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
266,Selenoamino acid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
267,Tetrahydrobiopterin metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
268,Glutathione metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
269,Propanoate metabolism,5BD_diffexpr-nonnaive-cluster4,0.1719935169673127,0.1719935169673127,0.3250767519643973
270,Biotin metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
271,Limonene and pinene degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
272,Phenylalanine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
273,ROS detoxification,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
274,Glycolysis/gluconeogenesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
275,Pyrimidine synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
276,Heme synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
277,Galactose metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
278,Purine synthesis,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
279,"Transport, extracellular",5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
280,Miscellaneous,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
281,Hyaluronan metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
282,Fructose and mannose metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
283,C5-branched dibasic acid metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
284,Oxidative phosphorylation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
285,N-glycan degradation,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
286,Nucleotide salvage pathway,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
287,Vitamin B2 metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
288,Butanoate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
289,Vitamin C metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
290,Vitamin B6 metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
291,Taurine and hypotaurine metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
292,Phosphatidylinositol phosphate metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
293,"Transport, mitochondrial",5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
294,Nucleotide sugar metabolism,5BD_diffexpr-nonnaive-cluster4,1.0,1.0,1.0
