	log2FC	x_mean	y_mean	pval	padj
FSTL1	0.9899652600288391	0.7283384	0.2855643	3.954016102682518e-12	9.885040256706295e-10
CAV1	0.9732093214988708	0.53975534	0.19475065	8.226166468201911e-21	2.0565416170504777e-18
F3	0.943853497505188	0.2680938	0.06089239	5.7965226460628384e-09	1.4491306615157096e-06
FBN1	0.943390429019928	0.4617737	0.16167979	2.267895128899301e-11	5.669737822248252e-09
WFDC17	0.9382643103599548	1.0168196	0.45249343	2.0189825651936596e-11	5.047456412984149e-09
EMP1	0.9333657622337341	0.2609582	0.05879265	2.662429890807542e-09	6.656074727018855e-07
HMOX1	0.9265804886817932	0.9913354	0.44409448	1.1452640724049987e-10	2.863160181012497e-08
IGLV1	0.9211184978485107	0.41641182	0.14278215	1.4070307347860554e-05	0.0035175768369651384
GNG11	0.9170559048652649	1.3980632	0.66351706	3.830512433709097e-17	9.576281084272743e-15
TPM2	0.9096766114234924	0.57849133	0.23149607	4.2068264766663837e-10	1.051706619166596e-07
MFAP2	0.9072406888008118	0.21100917	0.036220472	3.6040824669718992e-06	0.0009010206167429748
COL18A1	0.8878581523895264	0.29051986	0.08188976	6.066334595425549e-09	1.5165836488563874e-06
PCOLCE	0.8812845349311829	1.3501529	0.65826774	6.586213471654737e-14	1.6465533679136843e-11
FBLN5	0.879480242729187	0.25891948	0.06614173	4.3305485291669236e-06	0.001082637132291731
ANXA1	0.8702778816223145	0.8185525	0.37375328	5.054581208642588e-17	1.2636453021606471e-14
GPX3	0.8677173852920532	1.6472987	0.82887137	2.0703922352668536e-08	5.175980588167134e-06
ADAMTS2	0.8646331429481506	0.21253823	0.04304462	1.8029474803331377e-09	4.507368700832844e-07
IGFBP7	0.8593500256538391	12.351682	6.734908	1.7223590933243965e-29	4.305897733310992e-27
CCL7	0.8581449389457703	0.5876657	0.25091863	1.2333335674035241e-13	3.0833339185088105e-11
CRYAB	0.8545949459075928	0.36085626	0.12650919	2.555287740570347e-11	6.388219351425868e-09
RCN3	0.8509385585784912	1.2334353	0.6110236	2.0413214911937754e-22	5.1033037279844386e-20
CAVIN1	0.8505754470825195	0.5061162	0.20787401	1.3921272656948293e-14	3.4803181642370732e-12
RBP1	0.8302948474884033	0.64424056	0.29081365	7.276698968353143e-11	1.8191747420882857e-08
LAMA4	0.8183062076568604	0.34505606	0.12493438	1.9805133053063797e-12	4.95128326326595e-10
MUSTN1	0.8144935965538025	0.7711519	0.367979	1.0582136964572828e-18	2.6455342411432067e-16
SVEP1	0.7993793487548828	0.24159022	0.06929134	2.923721273023506e-08	7.309303182558764e-06
TSPAN6	0.7950859069824219	0.24311927	0.070866145	8.254336694816871e-07	0.00020635841737042177
CCDC80	0.7938103675842285	0.2864424	0.096062995	3.761927165911557e-07	9.404817914778893e-05
LRP1	0.7837220430374146	0.7884811	0.3895013	1.2789738051424051e-17	3.197434512856013e-15
OLFML3	0.782168984413147	0.25484198	0.079790026	6.523184835604982e-09	1.6307962089012455e-06
DPT	0.7811422944068909	0.4169215	0.17427821	4.648248585593697e-08	1.1620621463984243e-05
LAMB1	0.7790514230728149	0.4367992	0.1863517	1.7763337752411551e-13	4.4408344381028877e-11
MGST1	0.761505663394928	0.7650357	0.38425198	1.2994598077442837e-08	3.2486495193607093e-06
DCN	0.7610143423080444	3.4424057	1.9643044	1.9723751165029096e-30	4.930937791257274e-28
CD93	0.7533810138702393	0.31294596	0.11916011	1.3791200042341184e-10	3.447800010585296e-08
CALD1	0.7532646059989929	0.577472	0.27611548	7.52426005102907e-10	1.8810650127572674e-07
PXDN	0.7528941631317139	0.20132518	0.053018373	1.058506328224927e-07	2.6462658205623176e-05
RHOC	0.7513121366500854	0.8221203	0.42204726	2.381746042482941e-14	5.954365106207352e-12
EFEMP2	0.7453546524047852	0.41590214	0.18215223	4.459696249196431e-09	1.1149240622991078e-06
SELENOM	0.7359316349029541	0.754842	0.38792652	1.5548886052432672e-17	3.887221513108168e-15
AOC3	0.7332181930541992	0.2609582	0.09186352	3.435382256503039e-06	0.0008588455641257598
GAS6	0.7268581390380859	0.7864424	0.41049868	5.3395387360831286e-17	1.3348846840207821e-14
NID1	0.7136167287826538	0.39296636	0.17585301	7.81261546830342e-09	1.953153867075855e-06
IGF1	0.7133102416992188	0.8593272	0.46036744	2.864948751950198e-19	7.162371879875495e-17
FKBP9	0.7124534845352173	0.42864424	0.19790027	3.0891236761599654e-10	7.722809190399914e-08
AMOTL2	0.7054537534713745	0.26656473	0.10026247	6.370428581880683e-11	1.5926071454701708e-08
THBS2	0.7037984132766724	0.26350662	0.09868766	1.247239496755744e-06	0.000311809874188936
SOX18	0.6880784630775452	0.519368	0.26036745	2.3741318829320302e-09	5.935329707330076e-07
ADM	0.6870880722999573	0.22731906	0.079265095	1.9626962422307124e-05	0.004906740605576781
PDGFRB	0.6793976426124573	0.4648318	0.22887139	2.742128449967477e-08	6.855321124918692e-06
MYCT1	0.6769786477088928	0.22375128	0.07874016	2.2859847867141397e-06	0.0005714961966785349
LGALS1	0.676055908203125	4.432212	2.7128608	5.740816513074258e-18	1.4352041282685645e-15
IFITM3	0.6758794784545898	6.2522936	3.8524935	2.6786378727726206e-21	6.696594681931552e-19
SOD3	0.6739248633384705	0.53363913	0.27349082	2.5339489790814005e-15	6.334872447703501e-13
ENG	0.6737608909606934	1.2344546	0.7128609	1.1407033561542358e-10	2.8517583903855895e-08
CCL5	0.6737421154975891	26.6631	16.653543	1.4781716517841554e-09	3.6954291294603886e-07
DAPL1	0.6704198122024536	1.9597349	1.1706036	2.4286782835520626e-23	6.071695708880157e-21
PPIC	0.6663630604743958	0.58664626	0.30918634	1.8237579994706388e-08	4.559394998676597e-06
CAVIN3	0.6629549264907837	0.63557595	0.34120736	1.4018717066883433e-11	3.504679266720858e-09
EHD2	0.6626260280609131	0.3985729	0.19160105	7.676162501034362e-08	1.9190406252585904e-05
COL16A1	0.6590085625648499	0.23802243	0.09081365	2.4226751109030848e-06	0.0006056687777257712
MAGED1	0.6583460569381714	0.6330275	0.34120736	1.5235080190780876e-13	3.808770047695219e-11
GPX8	0.6559354066848755	0.21814474	0.07874016	1.0476637101897172e-06	0.0002619159275474293
GSTM2	0.6547454595565796	0.74260956	0.4120735	4.2615108889206385e-17	1.0653777222301597e-14
LMNA	0.6528382301330566	0.6365953	0.34540683	1.157425014071609e-06	0.00028935625351790225
NID2	0.6508922576904297	0.17889908	0.054593176	8.196112552850478e-07	0.00020490281382126195
LY6C1	0.6465769410133362	1.0341488	0.6015748	1.994382821642181e-17	4.985957054105452e-15
MXRA8	0.64618980884552	0.25993884	0.107086614	8.43196844020785e-06	0.0021079921100519623
LY6C2	0.639922022819519	2.5091743	1.5517061	5.2486205685566617e-23	1.3121551421391654e-20
RGS5	0.6370763182640076	0.94138634	0.54698163	3.621646177334509e-10	9.054115443336272e-08
LST1	0.6354146003723145	1.5647298	0.94908136	9.07506379850299e-17	2.2687659496257474e-14
PRDX4	0.6344641447067261	0.8562691	0.49343833	8.471131755015303e-12	2.1177829387538255e-09
HSPG2	0.628276526927948	0.795107	0.4566929	3.6942303523120996e-11	9.23557588078025e-09
PHLDA3	0.627816379070282	0.33893985	0.16167979	3.555889239868299e-07	8.889723099670748e-05
TUBB6	0.6247325539588928	0.3985729	0.20104986	1.063880019354963e-07	2.6597000483874076e-05
ANXA2	0.6230518817901611	1.5540265	0.95170605	2.5377892679435685e-11	6.3444731698589214e-09
RNASE4	0.6214293837547302	0.5361876	0.2913386	9.677613839557412e-07	0.00024194034598893531
SPARCL1	0.6211925745010376	0.35117227	0.17112862	2.029928011381187e-05	0.005074820028452967
CD8B1	0.6150614619255066	2.0076454	1.2540683	1.407459040700419e-22	3.518647601751048e-20
ADAM12	0.6117275953292847	0.26197758	0.11496063	3.482654826006387e-06	0.0008706637065015967
LAMC1	0.610497236251831	0.47961265	0.2577428	1.1766415225830074e-08	2.9416038064575185e-06
IGFBP4	0.610274076461792	3.2609582	2.07979	1.0160077788566536e-31	2.540019447141634e-29
MYADM	0.6087074279785156	0.48521915	0.26194227	1.9392351167540925e-08	4.848087791885231e-06
PRELP	0.6052656173706055	0.47808358	0.25826773	3.573411740041682e-09	8.933529350104205e-07
AEBP1	0.6045916080474854	0.8353721	0.49343833	1.923225110282869e-12	4.808062775707173e-10
KCNJ8	0.5942983031272888	0.36544344	0.18687664	2.620087087351728e-07	6.55021771837932e-05
GSTM1	0.5910534858703613	1.4689093	0.92020994	4.4737061295471175e-17	1.1184265323867794e-14
ITGA1	0.5871403217315674	0.4235474	0.22729659	2.9700120486166586e-07	7.425030121541646e-05
LHFP	0.5761003494262695	0.4362895	0.23884514	8.327677218669704e-07	0.0002081919304667426
LTBP3	0.5730351805686951	0.32568806	0.16535433	1.017576441397577e-05	0.0025439411034939427
S100A6	0.5708190202713013	7.2293577	4.813648	4.65720912029516e-14	1.16430228007379e-11
PMEPA1	0.5689398050308228	0.28848115	0.14120735	1.954305114363123e-06	0.0004885762785907807
GM13889	0.5685254335403442	0.5514781	0.31863517	4.5251316760646346e-13	1.1312829190161587e-10
SERPING1	0.5650008320808411	2.2380223	1.4598426	3.744443235527675e-15	9.361108088819189e-13
S100A11	0.562175989151001	3.4036698	2.2524934	1.0199695184783544e-21	2.549923796195886e-19
LTBP4	0.5594170093536377	0.80071354	0.49081364	3.1066836833269388e-12	7.766709208317347e-10
CXCL12	0.5590527057647705	5.426096	3.6304462	2.4721204930321566e-18	6.180301232580391e-16
CYGB	0.5575798749923706	0.57543325	0.33858266	4.958188373790659e-09	1.2395470934476647e-06
IFITM2	0.5428935885429382	2.4378185	1.6220472	1.2161144283627364e-19	3.040286070906841e-17
GM26917	0.5323954820632935	1.0310907	0.6624672	1.884180512408798e-11	4.710451281021995e-09
NEDD4	0.5322115421295166	1.654944	1.0939633	1.4093811135169561e-15	3.5234527837923905e-13
LYVE1	0.5317800045013428	1.2370031	0.80524933	1.156193414788711e-05	0.002890483536971778
CD300C2	0.5218740701675415	0.43527013	0.25354332	3.43080321771454e-09	8.57700804428635e-07
CRIP2	0.5055671334266663	1.4092762	0.944357	1.4471611570412836e-11	3.617902892603209e-09
NOTCH3	0.500822901725769	0.38277268	0.22257218	4.796339614089859e-06	0.0011990849035224647
PLPP1	0.5003452897071838	0.6692151	0.42519686	4.396812107257491e-07	0.00010992030268143726
