,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
3AIBTm_pos,31.0,0.04112554112554113,1.385541301605686,0.07481446260093551,3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial","Valine, leucine, and isoleucine metabolism",59,2.6.19.4,ABAT,"1.00 * 2-methyl-3-oxopropanoate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * 2-Oxoglutarate [m] + 1.00 * (S)-3-aminoisobutyric acid [m]
ABAT",2.0
3DSPHR_pos,34.0,0.008658008658008658,2.1372651935230973,0.027356785609212793,3DSPHR,3-Dehydrosphinganine reductase,Sphingolipid metabolism,63,1.1.1.102,KDSR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (2S)-1-hydroxy-3-oxooctadecan-2-aminium [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * sphinganine(1+) [c]
KDSR",4.0
3HAO_pos,4.0,0.025974025974025976,-1.3250680351637858,0.05113881883391865,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",Tryptophan metabolism,64,1.13.11.6,HAAO,"1.00 * O2 [c] + 1.00 * 3-hydroxyanthranilate [c] --> 1.00 * proton [c] + 1.00 * cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [c]
HAAO",4.0
3HKYNAKGAT_pos,12.0,0.3939393939393939,-0.6067997898479968,0.4522313077868633,3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,Tryptophan metabolism,67,2.6.1.7,AADAT; KYAT1,"1.00 * 2-Oxoglutarate [c] + 1.00 * 3-hydroxy-L-kynurenine [c] --> 1.00 * 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate [c] + 1.00 * L-glutamate(1-) [c]
AADAT; KYAT1",2.0
3HLYTCL_pos,32.0,0.025974025974025976,1.5786868946700479,0.05113881883391865,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,68,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * L-dopa [c] --> 1.00 * carbon dioxide [c] + 1.00 * dopaminium(1+) [c]
DDC",4.0
3MOX4HOXPGALDOX_NADP__neg,18.0,1.0,-0.1813511934653241,1.0,3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,78,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0
3MOX4HOXPGALDOX_pos,18.0,1.0,-0.1813511934653241,1.0,3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,Tyrosine metabolism,77,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3-Methoxy-4-hydroxyphenylglycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-Methoxy-4-hydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0
3SALATAi_pos,36.0,0.0021645021645021645,2.688764256906431,0.014494593198296903,3SALATAi,3-sulfino-alanine transaminase (irreversible),Methionine and cysteine metabolism,84,2.6.1.1,GOT1,"1.00 * proton [c] + 1.00 * 2-Oxoglutarate [c] + 1.00 * 3-Sulfino-L-alanine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 3-Sulfinopyruvate [c]
GOT1",2.0
3SALATAim_pos,36.0,0.0021645021645021645,2.7177827217044426,0.014494593198296903,3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",Methionine and cysteine metabolism,85,2.6.1.1,GOT2,"1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * 3-Sulfino-L-alanine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * 3-Sulfinopyruvate [m]
GOT2",2.0
41R1H2MAE12BOOX_pos,36.0,0.0021645021645021645,2.7977849921822635,0.014494593198296903,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism,88,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Adrenaline [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] + 1.00 * methylammonium [c]
MAOA; MAOB",4.0
41R2A1H12BOOX_pos,36.0,0.0021645021645021645,3.258966114809642,0.014494593198296903,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism,89,1.4.3.4,MAOA; MAOB,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * Norepinephrine [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c]
MAOA; MAOB",4.0
4HGLSDm_pos,36.0,0.0021645021645021645,4.162956549321744,0.014494593198296903,4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",Arginine and Proline Metabolism,95,1.5.1.12,ALDH4A1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-4-hydroxyglutamic semialdehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * erythro-4-hydroxy-L-glutamate(1-) [m]
ALDH4A1",1.0
4HOXPACDOX_NADP__pos,27.0,0.17965367965367965,0.869374363958701,0.231465914660689,4HOXPACDOX_NADP_,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,96,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * (4-hydroxyphenyl)acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 4-hydroxyphenylacetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",2.0
5ADTSTSTERONESULT_pos,31.0,0.04112554112554113,1.402732740797689,0.07481446260093551,5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,Steroid metabolism,109,2.8.2.2,SULT1A1; SULT2A1,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 17beta-hydroxy-5alpha-androstan-3-one [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 5alpha-Dihydrotestosterone sulfate [c]
SULT1A1; SULT2A1",4.0
5HLTDL_pos,25.0,0.30952380952380953,0.7299672904062166,0.3675771713538545,5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,115,4.1.1.28,DDC,"1.00 * proton [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * carbon dioxide [c] + 1.00 * serotonin(1+) [c]
DDC",4.0
5HOXINDACTO2OX_pos,19.0,0.9372294372294373,-0.054952557440624696,0.9521502117881079,5HOXINDACTO2OX,5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase,Tryptophan metabolism,117,1.2.3.1,AOX1,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * (5-hydroxyindol-3-yl)acetaldehyde [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * proton [c] + 1.00 * 5-Hydroxyindoleacetate [c]
AOX1",2.0
A4GALTg_pos,34.0,0.008658008658008658,1.9714782675479932,0.027356785609212793,A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,Sphingolipid metabolism,142,2.4.1.228,A4GALT,"1.00 * galactosyl glucosyl ceramide [g] + 1.00 * UDP-D-galactose(2-) [g] --> 1.00 * proton [g] + 1.00 * trihexosyl ceramide [g] + 1.00 * UDP [g]
A4GALT",4.0
AACOAT_pos,34.0,0.008658008658008658,2.592676181579164,0.027356785609212793,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,Propanoate metabolism,145,6.2.1.16,AACS,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * acetoacetate [c] --> 1.00 * Acetoacetyl-CoA [c] + 1.00 * AMP [c] + 1.00 * Diphosphate [c]
AACS",4.0
AACTOOR_pos,28.0,0.13203463203463203,0.8701421910288797,0.17882093631157303,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"Glycine, serine, alanine and threonine metabolism",146,1.4.3.6,AOC3,"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * ammonioacetone [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * methylglyoxal [c]
AOC3",4.0
AATAi_neg,30.0,0.06493506493506493,-0.135692083843377,0.10654457717729711,AATAi,"2-aminoadipate transaminase, irreversible",Lysine metabolism,149,2.6.1.39,AADAT,"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",4.0
AATAi_pos,36.0,0.0021645021645021645,4.004162807216491,0.014494593198296903,AATAi,"2-aminoadipate transaminase, irreversible",Lysine metabolism,149,2.6.1.39,AADAT,"1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",4.0
ABTArm_neg,29.0,0.09307359307359307,1.2409340006231642,0.14338840646532955,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",Glutamate metabolism,159,2.6.19.4,ABAT,"1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",4.0
ABTArm_pos,32.0,0.025974025974025976,1.5822213300379793,0.05113881883391865,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",Glutamate metabolism,159,2.6.19.4,ABAT,"1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",4.0
ABUTD_pos,30.0,0.06493506493506493,1.3550988004692794,0.10654457717729711,ABUTD,Aminobutyraldehyde dehydrogenase,beta-Alanine metabolism,162,1.2.1.19,ALDH9A1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 4-Aminobutanal [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 4-Aminobutanoate [c]
ALDH9A1",4.0
ACACT10m_neg,36.0,0.0021645021645021645,3.1400597786579696,0.014494593198296903,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","Valine, leucine, and isoleucine metabolism",166,2.3.1.9,ACAA2; ACAT1; HADHB,"1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",4.0
ACACT10m_pos,36.0,0.0021645021645021645,3.107092914184022,0.014494593198296903,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","Valine, leucine, and isoleucine metabolism",166,2.3.1.9,ACAA2; ACAT1; HADHB,"1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",4.0
ACACT1x_pos,29.0,0.09307359307359307,1.2471508288635267,0.14338840646532955,ACACT1x,"acetyl-CoA C-acetyltransferase, mitochondrial",Cholesterol metabolism,169,2.3.1.9,ACAT3,"2.00 * Acetyl-CoA [x] --> 1.00 * Acetoacetyl-CoA [x] + 1.00 * Coenzyme A [x]
ACAT3",4.0
ACACT4p_pos,27.0,0.17965367965367965,0.6523874630614298,0.231465914660689,ACACT4p,"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal",Fatty acid oxidation,172,2.3.1.16,ACAA1B,"1.00 * Coenzyme A [x] + 1.00 * 3-Oxodecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [x]
ACAA1B",4.0
ACACT5p_pos,27.0,0.17965367965367965,0.6523874630614417,0.231465914660689,ACACT5p,"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal",Fatty acid oxidation,173,2.3.1.16,ACAA1B,"1.00 * Coenzyme A [x] + 1.00 * 3-Oxododecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Decanoyl-CoA (n-C10:0CoA) [x]
ACAA1B",4.0
ACACT6p_pos,27.0,0.17965367965367965,0.6523874630614298,0.231465914660689,ACACT6p,"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal",Fatty acid oxidation,174,2.3.1.16,ACAA1B,"1.00 * Coenzyme A [x] + 1.00 * 3-Oxotetradecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [x]
ACAA1B",4.0
ACACT7p_pos,27.0,0.17965367965367965,0.7061294470467181,0.231465914660689,ACACT7p,"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal",Fatty acid oxidation,175,2.3.1.16,ACAA1B,"1.00 * Coenzyme A [x] + 1.00 * 3-oxopalmitoyl-CoA(4-) [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [x]
ACAA1B",4.0
ACCOACm_pos,33.0,0.015151515151515152,1.9976550541488298,0.03587530451844748,ACCOACm,"Acetyl-Coa carboxylase, beta isoform",Fatty acid oxidation,184,6.4.1.2,ACACB,"1.00 * Acetyl-CoA [m] + 1.00 * ATP [m] + 1.00 * Bicarbonate [m] --> 1.00 * proton [m] + 1.00 * ADP [m] + 1.00 * Malonyl-CoA [m] + 1.00 * hydrogenphosphate [m]
ACACB",4.0
ACCOAL_pos,26.0,0.24025974025974026,0.5888278485355267,0.29451048010370046,ACCOAL,acetate-CoA ligase (ADP-forming),Propanoate metabolism,186,6.2.1.13,ACSS2,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * propionate [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Propanoyl-CoA [c]
ACSS2",4.0
ACCOALm_pos,32.0,0.025974025974025976,1.5264328922270667,0.05113881883391865,ACCOALm,acetate-CoA ligase (AMP-forming),Propanoate metabolism,187,6.2.1.17,ACSS1; ACSS3,"1.00 * Coenzyme A [m] + 1.00 * ATP [m] + 1.00 * propionate [m] --> 1.00 * Propanoyl-CoA [m] + 1.00 * AMP [m] + 1.00 * Diphosphate [m]
ACSS1; ACSS3",2.0
ACGAM2E_neg,29.0,0.09307359307359307,1.188978140799117,0.14338840646532955,ACGAM2E,N-acetylglucosamine 2-epimerase,Aminosugar metabolism,202,5.1.3.8,RENBP,"1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * N-acetyl-D-mannosamine [c]
RENBP",4.0
ACGAM2E_pos,34.0,0.008658008658008658,2.4094142343662326,0.027356785609212793,ACGAM2E,N-acetylglucosamine 2-epimerase,Aminosugar metabolism,202,5.1.3.8,RENBP,"1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * N-acetyl-D-mannosamine [c]
RENBP",4.0
ACGAM6PSi_pos,31.0,0.04112554112554113,1.4552158102661392,0.07481446260093551,ACGAM6PSi,N-acetylglucosamine-6-phosphate synthase,Aminosugar metabolism,203,2.3.1.4,GNPNAT1,"1.00 * Acetyl-CoA [c] + 1.00 * D-Glucosamine 6-phosphate [c] --> 1.00 * proton [c] + 1.00 * Coenzyme A [c] + 1.00 * N-acetyl-D-glucosamine 6-phosphate(2-) [c]
GNPNAT1",2.0
ACGAMK_pos,29.0,0.09307359307359307,1.188978140799117,0.14338840646532955,ACGAMK,N-acetylglucosamine kinase,Aminosugar metabolism,204,2.7.1.59,NAGK,"1.00 * ATP [c] + 1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * N-acetyl-D-glucosamine 6-phosphate(2-) [c]
NAGK",4.0
ACGAMPM_pos,29.0,0.09307359307359307,1.188978140799117,0.14338840646532955,ACGAMPM,phosphoacetylglucosamine mutase,Aminosugar metabolism,205,5.4.2.3,PGM3,"1.00 * N-acetyl-D-glucosamine 6-phosphate(2-) [c] --> 1.00 * N-Acetyl-D-glucosamine 1-phosphate [c]
PGM3",4.0
ACHEe_pos,16.0,0.8181818181818182,-0.2447462092772524,0.8488277740748255,ACHEe,Acetylcholinesterase,Glycerophospholipid metabolism,211,3.1.1.7,ACHE,"1.00 * Water [e] + 1.00 * acetylcholine [e] --> 1.00 * proton [e] + 1.00 * acetate [e] + 1.00 * Choline [e]
ACHE",4.0
ACNAM9PL2_pos,36.0,0.0021645021645021645,3.482493623212147,0.014494593198296903,ACNAM9PL2,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),Aminosugar metabolism,224,2.5.1.56,NANS,"1.00 * Water [c] + 1.00 * Phosphoenolpyruvate [c] + 1.00 * D-Mannose 6-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate [c]
NANS",4.0
ACNAM9PL_pos,34.0,0.008658008658008658,2.2084379737768183,0.027356785609212793,ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),Aminosugar metabolism,223,2.5.1.56,NANS,"1.00 * Water [c] + 1.00 * N-acetyl-D-mannosamine 6-phosphate(2-) [c] + 1.00 * Phosphoenolpyruvate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * N-Acetylneuraminate 9-phosphate [c]
NANS",4.0
ACNAMPH_pos,34.0,0.008658008658008658,2.2084379737768183,0.027356785609212793,ACNAMPH,N-Acetylneuraminate 9-phosphate phosphohydrolase,Aminosugar metabolism,226,3.1.3.29,ACP5; ACP6; NANP,"1.00 * Water [c] + 1.00 * N-Acetylneuraminate 9-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * N-acetylneuraminate [c]
ACP5; ACP6; NANP",2.0
ACOAD10m_pos,25.0,0.30952380952380953,0.6827779643551007,0.3675771713538545,ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism",231,1.3.99.12,ACADM; ACADSB,"1.00 * 2-methylbutanoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] --> 1.00 * 2-methylcrotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADSB",4.0
ACOAD8m_pos,32.0,0.025974025974025976,1.6930599410708023,0.05113881883391865,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism",233,1.3.99.10,IVD,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Isovaleryl-CoA [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-methylbut-2-enoyl-CoA(4-) [m]
IVD",4.0
ACOAD9m_pos,16.0,0.8181818181818182,-0.16348480580583052,0.8488277740748255,ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism",234,1.3.99.12,ACAD8; ACADM,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * isobutyryl-CoA(4-) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 2-Methylprop-2-enoyl-CoA [m]
ACAD8; ACADM",4.0
ACOAO7p_pos,34.0,0.008658008658008658,2.3712645506068166,0.027356785609212793,ACOAO7p,"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal",Fatty acid oxidation,236,1.3.3.6,ACOX1,"1.00 * Palmitoyl-CoA (n-C16:0CoA) [x] + 1.00 * O2 [x] --> 1.00 * Hydrogen peroxide [x] + 1.00 * trans-Hexadec-2-enoyl-CoA [x]
ACOX1",4.0
ACOX22x_pos,30.0,0.06493506493506493,1.4809421259772948,0.10654457717729711,ACOX22x,"acyl-Coenzyme A oxidase 2, branched chain",Bile acid synthesis,241,1.3.3.6,ACOX2,"0.50 * O2 [x] + 1.00 * 3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA [x] + 1.00 * Flavin adenine dinucleotide reduced [x] --> 1.00 * Flavin adenine dinucleotide oxidized [x] + 1.00 * 3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA [x]
ACOX2",2.0
