,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
A4GALTg_pos,14349.0,6.587733898025896e-08,0.6263937782631306,1.3901863619906965e-06,A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,"1.00 * galactosyl glucosyl ceramide [g] + 1.00 * UDP-D-galactose(2-) [g] --> 1.00 * proton [g] + 1.00 * trihexosyl ceramide [g] + 1.00 * UDP [g]
A4GALT",A4GALT,Sphingolipid metabolism,2.4.1.228,4.0
AATAi_neg,12748.0,0.0015886617443803504,0.18807680806352017,0.005973180706156917,AATAi,"2-aminoadipate transaminase, irreversible","1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",AADAT,Lysine metabolism,2.6.1.39,4.0
ACCOAL_pos,14272.0,1.195792538885379e-07,0.4363129659220885,2.288524279374331e-06,ACCOAL,acetate-CoA ligase (ADP-forming),"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * propionate [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Propanoyl-CoA [c]
ACSS2",ACSS2,Propanoate metabolism,6.2.1.13,4.0
ACGAM2E_pos,12937.0,0.0006195739942450799,0.4020345456053563,0.00279246468551902,ACGAM2E,N-acetylglucosamine 2-epimerase,"1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * N-acetyl-D-mannosamine [c]
RENBP",RENBP,Aminosugar metabolism,5.1.3.8,4.0
ACGPID_pos,13242.0,0.00011792052344104039,0.465730027006951,0.0006809191463688765,ACGPID,N-acetylglucosaminylphosphatidylinositol deacetylase,"1.00 * Water [c] + 1.00 * 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * acetate [c] + 1.00 * 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol [c]
PIGL",PIGL,Phosphatidylinositol phosphate metabolism,3.5.1.89,4.0
ACNAM9PL2_pos,14190.0,2.228392416089523e-07,0.6420878009781413,3.5162180614375854e-06,ACNAM9PL2,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),"1.00 * Water [c] + 1.00 * Phosphoenolpyruvate [c] + 1.00 * D-Mannose 6-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate [c]
NANS",NANS,Aminosugar metabolism,2.5.1.56,4.0
ACNAM9PL_pos,12793.0,0.0012771917704789818,0.4122073903707075,0.005055616865380467,ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),"1.00 * Water [c] + 1.00 * N-acetyl-D-mannosamine 6-phosphate(2-) [c] + 1.00 * Phosphoenolpyruvate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * N-Acetylneuraminate 9-phosphate [c]
NANS",NANS,Aminosugar metabolism,2.5.1.56,4.0
ACOAD8m_pos,12766.0,0.0014565157188360127,0.22991841865033524,0.0055417162245623335,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Isovaleryl-CoA [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-methylbut-2-enoyl-CoA(4-) [m]
IVD",IVD,"Valine, leucine, and isoleucine metabolism",1.3.99.10,4.0
ACOAD9m_pos,12227.0,0.015194643126462785,0.2857225810161881,0.039300105781228625,ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * isobutyryl-CoA(4-) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 2-Methylprop-2-enoyl-CoA [m]
ACAD8; ACADM",ACAD8; ACADM,"Valine, leucine, and isoleucine metabolism",1.3.99.12,4.0
ACONTm_neg,12517.0,0.004594159066248883,0.17375347561033613,0.014465699470950655,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ACONTm_pos,12517.0,0.004594159066248883,0.17375347561033616,0.014465699470950655,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ADKd_neg,13310.0,7.955936451076306e-05,0.38703091742577767,0.000496603163591668,ADKd,adenylate kinase (d form),"1.00 * dAMP(2-) [c] + 1.00 * dATP [c] --> 2.00 * dADP [c]
AK5",AK5,Nucleotide interconversion,2.7.4.3,4.0
ADKd_pos,13310.0,7.955936451076306e-05,0.38703091742577767,0.000496603163591668,ADKd,adenylate kinase (d form),"1.00 * dAMP(2-) [c] + 1.00 * dATP [c] --> 2.00 * dADP [c]
AK5",AK5,Nucleotide interconversion,2.7.4.3,4.0
ADPRDP_pos,13178.0,0.0001694371482985586,0.46255429509500035,0.0009349116416508348,ADPRDP,ADPribose diphosphatase,"1.00 * Water [c] + 1.00 * ADPribose [c] --> 2.00 * proton [c] + 1.00 * AMP [c] + 1.00 * alpha-D-Ribose 5-phosphate [c]
NUDT5",NUDT5,Nucleotide interconversion,3.6.1.13,4.0
ADSL2_pos,13394.0,4.834967827743888e-05,0.47411095854349755,0.00031538638655283316,ADSL2,adenylosuccinate lyase,"1.00 * (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate [c] --> 1.00 * Fumarate [c] + 1.00 * 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide [c]
ADSL",ADSL,Purine synthesis,4.3.2.2,4.0
AGMTm_pos,7892.0,0.0002651484944777881,-0.3953328332275756,0.0013529154165788178,AGMTm,agmatinase (m),"1.00 * Water [m] + 1.00 * agmatinium(2+) [m] --> 1.00 * Putrescine [m] + 1.00 * Urea [m]
AGMAT",AGMAT,Arginine and Proline Metabolism,3.5.3.11,4.0
AGPAT1_pos,12793.0,0.0012771917704789818,0.3773128444835857,0.005055616865380467,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,"1.00 * R total 2 coenzyme A [c] + 1.00 * lysophosphatidic acid [c] --> 1.00 * Coenzyme A [c] + 1.00 * phosphatidate(2-) [c]
AGPAT1; AGPAT2; AGPAT3; AGPAT4; AGPAT5; GPAT4; MBOAT2",AGPAT1; AGPAT2; AGPAT3; AGPAT4; AGPAT5; GPAT4; MBOAT2,Triacylglycerol synthesis,2.3.1.51,4.0
AGTix_pos,12400.0,0.0075806851659145835,0.32113232226198773,0.02194988939680765,AGTix,"alanine-glyoxylate transaminase (irreversible), (peroxisomal)","1.00 * L-alanine [x] + 1.00 * glyoxylate [x] --> 1.00 * Glycine [x] + 1.00 * pyruvate [x]
AGXT",AGXT,Alanine and aspartate metabolism,2.6.1.44,4.0
AHC_pos,14177.0,2.45662566089966e-07,0.6304528021517088,3.7454725686396013e-06,AHC,adenosylhomocysteinase,"1.00 * Water [c] + 1.00 * S-Adenosyl-L-homocysteine [c] --> 1.00 * Adenosine [c] + 1.00 * L-homocysteine [c]
AHCYL1; GM4737",AHCYL1; GM4737,Methionine and cysteine metabolism,3.3.1.1,4.0
AHEXASEly_pos,12617.0,0.00293599726629183,0.347286177982846,0.009952718392594592,AHEXASEly,"beta-N-acetylhexosaminidase, lysosomal","2.00 * Water [l] + 1.00 * de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage) [l] --> 1.00 * (alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine [l] + 2.00 * N-acetyl-D-glucosamine [l]
HEXA; HEXB",HEXA; HEXB,N-glycan degradation,3.2.1.52,4.0
AICART_neg,13776.0,4.247163804161792e-06,0.5962362853429216,3.911441462994668e-05,AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,"1.00 * 10-Formyltetrahydrofolate [c] + 1.00 * 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide [c] --> 1.00 * 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [c] + 1.00 * 5,6,7,8-Tetrahydrofolate [c]
ATIC",ATIC,Purine synthesis,2.1.2.3,4.0
AICART_pos,13625.0,1.1479170196978584e-05,0.54046950223998,8.965288194282415e-05,AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,"1.00 * 10-Formyltetrahydrofolate [c] + 1.00 * 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide [c] --> 1.00 * 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [c] + 1.00 * 5,6,7,8-Tetrahydrofolate [c]
ATIC",ATIC,Purine synthesis,2.1.2.3,4.0
AKR1D2_pos,12383.0,0.008136123970213396,0.3129106974620544,0.023075886988059624,AKR1D2,"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)","1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 7alpha,12alpha-Dihydroxycholest-4-en-3-one [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 7alpha,12alpha-dihydroxy-5beta-cholestan-3-one [c]
AKR1D1",AKR1D1,Bile acid synthesis,1.3.99.6,4.0
ALATA_L_pos,13047.0,0.00034745088749996866,0.34166273198708097,0.0017151855197810226,ALATA_L,L-alanine transaminase,"1.00 * 2-Oxoglutarate [c] + 1.00 * L-alanine [c] --> 1.00 * pyruvate [c] + 1.00 * L-glutamate(1-) [c]
GPT; GPT2",GPT; GPT2,Glutamate metabolism,2.6.1.2,4.0
ALDD2x_pos,12941.0,0.0006069167627369481,0.43147941364859227,0.002768704745112792,ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * acetate [c]
ALDH1A1; ALDH1A2; ALDH1A3; ALDH1B1; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH7A1; ALDH9A1",ALDH1A1; ALDH1A2; ALDH1A3; ALDH1B1; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH7A1; ALDH9A1,Glycolysis/gluconeogenesis,1.2.1.3,0.0
ALDD2xm_pos,12958.0,0.0005557615949273825,0.40916913500975305,0.0025610040813248075,ALDD2xm,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial","1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * acetaldehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * acetate [m]
ALDH1B1; ALDH2",ALDH1B1; ALDH2,Glycolysis/gluconeogenesis,1.2.1.3,0.0
ALDD2y_pos,12855.0,0.0009397821029388259,0.4237088220593924,0.003974274281373018,ALDD2y,"aldehyde dehydrogenase (acetaldehyde, NADP)","1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * acetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * acetate [c]
ALDH1A2; ALDH1B1; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH9A1",ALDH1A2; ALDH1B1; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH9A1,Glycolysis/gluconeogenesis,1.2.1.4,0.0
ALOX52_pos,8564.0,0.006825535914898679,0.03194881231185459,0.020129171858236594,ALOX52,Arachidonate 5-lipoxygenase,"1.00 * 5(S)-HPETE(1-) [c] --> 1.00 * Water [c] + 1.00 * leukotriene A4(1-) [c]
ALOX5",ALOX5,Eicosanoid metabolism,1.13.11.34,4.0
ALR2_pos,12455.0,0.006009018405927878,0.3455541405150806,0.01795380886121817,ALR2,aldose reductase (methylglyoxal),"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * methylglyoxal [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * hydroxyacetone [c]
AKR1A1; AKR1B3; AKR7A5",AKR1A1; AKR1B3; AKR7A5,Pyruvate metabolism,1.1.1.21,4.0
ALR3_pos,12455.0,0.006009018405927878,0.34555414051508027,0.01795380886121817,ALR3,aldose reductase (acetol),"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * hydroxyacetone [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * (S)-propane-1,2-diol [c]
AKR1A1; AKR1B3; AKR7A5",AKR1A1; AKR1B3; AKR7A5,Pyruvate metabolism,1.1.1.21,4.0
AMANK_pos,12793.0,0.0012771917704789818,0.4122073903707074,0.005055616865380467,AMANK,N-acetyl-D-mannosamine kinase,"1.00 * ATP [c] + 1.00 * N-acetyl-D-mannosamine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * N-acetyl-D-mannosamine 6-phosphate(2-) [c]
GNE; NAGK",GNE; NAGK,Aminosugar metabolism,2.7.1.60,4.0
AMPDA_pos,13254.0,0.00011007878637492373,0.4341438655699726,0.0006599549440897356,AMPDA,Adenosine monophosphate deaminase,"1.00 * Water [c] + 1.00 * proton [c] + 1.00 * AMP [c] --> 1.00 * Ammonium [c] + 1.00 * IMP [c]
AMPD1; AMPD2; AMPD3",AMPD1; AMPD2; AMPD3,Nucleotide interconversion,3.5.4.6,4.0
AMPTASECGe_pos,12794.0,0.0012709592792755112,0.36913971402223106,0.0050497652660990225,AMPTASECGe,alanyl aminopeptidase (cys-gly) (e),"1.00 * Water [e] + 1.00 * L-cysteinylglycine [e] --> 1.00 * L-cysteine [e] + 1.00 * Glycine [e]
ANPEP",ANPEP,Glutathione metabolism,3.4.11.2,4.0
ARGDCm_pos,7892.0,0.0002651484944777881,-0.39533283322758594,0.0013529154165788178,ARGDCm,arginine decarboxylase (m),"1.00 * proton [m] + 1.00 * L-argininium(1+) [m] --> 1.00 * carbon dioxide [m] + 1.00 * agmatinium(2+) [m]
AZIN2",AZIN2,Arginine and Proline Metabolism,4.1.1.19,4.0
ARGN_pos,7841.0,0.00020028898298447026,-0.4064246695678758,0.0010726400744201924,ARGN,arginase,"1.00 * Water [c] + 1.00 * L-argininium(1+) [c] --> 1.00 * Ornithine [c] + 1.00 * Urea [c]
ARG1; ARG2",ARG1; ARG2,Urea cycle,3.5.3.1,4.0
ARGNm_pos,8434.0,0.0038837009956189314,-0.3200900821762578,0.012519386163419044,ARGNm,arginase (m),"1.00 * Water [m] + 1.00 * L-argininium(1+) [m] --> 1.00 * Urea [m] + 1.00 * Ornithine [m]
ARG2",ARG2,Urea cycle,3.5.3.1,4.0
ARGSL_pos,8669.0,0.0105257221951728,-0.2565968051340889,0.028864211510256563,ARGSL,argininosuccinate lyase,"1.00 * N(omega)-(L-Arginino)succinate [c] --> 1.00 * Fumarate [c] + 1.00 * L-argininium(1+) [c]
No genes",,Alanine and aspartate metabolism,4.3.2.1,4.0
ASAH1_pos,13590.0,1.4365872270516483e-05,0.5307191183358703,0.00010912241237187312,ASAH1,N-acylsphingosine amidohydrolase,"1.00 * Water [l] + 1.00 * N-acylsphingosine [l] --> 1.00 * R total [l] + 1.00 * sphingosine(1+) [l]
ASAH1",ASAH1,Sphingolipid metabolism,3.5.1.23,4.0
ASPCTr_pos,15090.0,1.189155993534246e-10,0.8119542448432875,5.874799338599805e-09,ASPCTr,aspartate carbamoyltransferase (reversible),"1.00 * L-aspartate(1-) [c] + 1.00 * Carbamoyl phosphate [c] --> 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * N-Carbamoyl-L-aspartate [c]
CAD",CAD,Pyrimidine synthesis,2.1.3.2,4.0
ATPH1e_pos,13992.0,9.50263627106224e-07,0.5884573159049099,1.0369914547171173e-05,ATPH1e,ATP diphosphohydrolase,"2.00 * Water [e] + 1.00 * ATP [e] --> 2.00 * proton [e] + 1.00 * AMP [e] + 2.00 * hydrogenphosphate [e]
ENTPD1; ENTPD2; ENTPD3; ENTPD5; ENTPD6",ENTPD1; ENTPD2; ENTPD3; ENTPD5; ENTPD6,Nucleotide interconversion,3.6.1.5,4.0
B3GALT3g_pos,14349.0,6.587733898025896e-08,0.6263937782631155,1.3901863619906965e-06,B3GALT3g,"Beta-1,3-galactosyltransferase 3","1.00 * trihexosyl ceramide [g] + 1.00 * UDP-N-acetyl-D-galactosamine(2-) [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * globoside [g]
B3GALNT1",B3GALNT1,Sphingolipid metabolism,2.4.1.79,4.0
B3GALT41g_pos,13299.0,8.483814228139517e-05,0.460104130903234,0.0005228950490902625,B3GALT41g,"Beta-1,3-galactosyltransferase 4","1.00 * UDP-D-galactose(2-) [g] + 1.00 * GA2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * gibberellin A1(1-) [g]
B3GALT4",B3GALT4,Sphingolipid metabolism,2.4.1.62,4.0
B3GALT42g_pos,13100.0,0.00026084393623329626,0.4434870708871303,0.001340611617431288,B3GALT42g,"Beta-1,3-galactosyltransferase 4","1.00 * UDP-D-galactose(2-) [g] + 1.00 * N-acetyl-beta-D-galactosaminyl-(1->4)-[alpha-N-acetylneuraminosyl-(2->3)]-beta-D-galactosyl-beta-D-glucosyl-(1<->1)-ceramide anion [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * ganglioside GM1 [g]
B3GALT4",B3GALT4,Sphingolipid metabolism,2.4.1.62,4.0
B3GALT43g_pos,13009.0,0.0004253755605911628,0.43481471819546197,0.0020260974945048435,B3GALT43g,"Beta-1,3-galactosyltransferase 4","1.00 * UDP-D-galactose(2-) [g] + 1.00 * GD2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * GD1b [g]
B3GALT4",B3GALT4,Sphingolipid metabolism,2.4.1.62,4.0
B3GALT44g_pos,13061.0,0.000322272713916104,0.438504801307534,0.0016070766868445468,B3GALT44g,"Beta-1,3-galactosyltransferase 4","1.00 * UDP-D-galactose(2-) [g] + 1.00 * GT2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * GT1c [g]
B3GALT4",B3GALT4,Sphingolipid metabolism,2.4.1.62,4.0
BUP2_pos,15142.0,7.337187675067216e-11,0.8422309426331515,3.740791764256269e-09,BUP2,beta-ureidopropionase (D-3-amino-isobutanoate forming),"1.00 * Water [c] + 2.00 * proton [c] + 1.00 * 3-Ureidoisobutyrate [c] --> 1.00 * Ammonium [c] + 1.00 * carbon dioxide [c] + 1.00 * D-3-Amino-isobutanoate [c]
UPB1",UPB1,Pyrimidine catabolism,3.5.1.6,4.0
C14STRr_pos,7671.0,7.591679572805988e-05,-0.2740000216932283,0.0004771387816594693,C14STRr,C-14 sterol reductase,"1.00 * proton [r] + 1.00 * 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] --> 1.00 * 14-demethyllanosterol [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r]
TM7SF2",TM7SF2,Cholesterol metabolism,1.3.1.70,4.0
C160CPT1_pos,8772.0,0.015791913406092224,-0.2557477055472537,0.04058139682944586,C160CPT1,production of Palmitoylcarnitine,"1.00 * L-Carnitine [c] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * L-palmitoylcarnitine [c]
CPT1A; CPT1B; CPT1C",CPT1A; CPT1B; CPT1C,Fatty acid oxidation,2.3.1.21,4.0
CDIPTr_neg,14232.0,1.6226394147285106e-07,0.6613291084526992,2.8177332397996725e-06,CDIPTr,phosphatidylinositol synthase (Homo sapiens),"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * myo-inositol [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c]
CDIPT",CDIPT,Glycerophospholipid metabolism,2.7.8.11,4.0
CK_pos,7293.0,7.231063710436962e-06,-0.4632557224849052,6.071616472544764e-05,CK,ATP Creatine kinase,"1.00 * ATP [m] + 1.00 * creatine [m] --> 1.00 * ADP [m] + 1.00 * N-phosphocreatinate(2-) [m]
CKMT1; CKMT2",CKMT1; CKMT2,Urea cycle,2.7.3.2,4.0
CKc_neg,7293.0,7.231063710436962e-06,-0.4632557224849051,6.071616472544764e-05,CKc,ATP Creatine kinase (c),"1.00 * ATP [c] + 1.00 * creatine [c] --> 1.00 * ADP [c] + 1.00 * N-phosphocreatinate(2-) [c]
CKB; CKM",CKB; CKM,Urea cycle,2.7.3.2,4.0
CORE6GTg_pos,13630.0,1.111504632717976e-05,0.4423579745678283,8.810471423273209e-05,CORE6GTg,"Core 6 beta-GlcNAc-transferase A, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * Tn antigen [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * Core 6 [g]
GCNT1",GCNT1,O-glycan synthesis,2.4.1.102,0.0
CSNAT2m_pos,8357.0,0.0027409785327533152,-0.3489169009790406,0.009391535585611224,CSNAT2m,"carnitine O-aceyltransferase, mitochondrial","1.00 * Coenzyme A [m] + 1.00 * propionyl-carnitine [m] --> 1.00 * Propanoyl-CoA [m] + 1.00 * L-Carnitine [m]
CRAT",CRAT,Fatty acid oxidation,2.3.1.7,4.0
CSNAT3x_pos,8673.0,0.010696653437614497,-0.26665832434672637,0.029295132083333557,CSNAT3x,"carnitine O-aceyltransferase, peroxisomal","1.00 * L-Carnitine [x] + 1.00 * Propanoyl-CoA [x] --> 1.00 * Coenzyme A [x] + 1.00 * propionyl-carnitine [x]
CRAT",CRAT,Fatty acid oxidation,2.3.1.7,4.0
