,term,variable,value,p,padj,s1,s2
67,KEGG_MM_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0,0.42845697100918056,0.42845697100918056,1.0,Th17p_DFMO,Th17n_Vehicle
68,KEGG_MM_BIOTIN_METABOLISM,0,0.0,0.0,0.0,Th17p_DFMO,Th17n_Vehicle
69,KEGG_MM_LIPOIC_ACID_METABOLISM,0,0.09954678507043968,0.09954678507043968,0.2896511806397408,Th17p_DFMO,Th17n_Vehicle
70,KEGG_MM_FOLATE_BIOSYNTHESIS,0,0.008918461396353593,0.008918461396353593,0.025921140584056656,Th17p_DFMO,Th17n_Vehicle
71,KEGG_MM_RETINOL_METABOLISM,0,0.7833361598580039,0.7833361598580039,1.0,Th17p_DFMO,Th17n_Vehicle
72,KEGG_MM_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0,0.4373828537376003,0.4373828537376003,1.0,Th17p_DFMO,Th17n_Vehicle
73,KEGG_MM_TERPENOID_BACKBONE_BIOSYNTHESIS,0,0.17372548008974317,0.17372548008974317,0.502130125176334,Th17p_DFMO,Th17n_Vehicle
74,KEGG_MM_SULFUR_METABOLISM,0,0.0,0.0,0.0,Th17p_DFMO,Th17n_Vehicle
75,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,0,0.89357270679908,0.89357270679908,1.0,Th17p_DFMO,Th17n_Vehicle
76,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0,0.0,0.0,0.0,Th17p_DFMO,Th17n_Vehicle
77,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0,0.0,0.0,0.0,Th17p_DFMO,Th17n_Vehicle
78,KEGG_MM_METABOLIC_PATHWAYS,0,0.03821592713539401,0.03821592713539401,0.05867268813139904,Th17p_DFMO,Th17n_Vehicle
79,KEGG_MM_2-OXOCARBOXYLIC_ACID_METABOLISM,0,0.46707428374602417,0.46707428374602417,1.0,Th17p_DFMO,Th17n_Vehicle
80,KEGG_MM_RNA_DEGRADATION,0,0.7534631317105772,0.7534631317105772,1.0,Th17p_DFMO,Th17n_Vehicle
81,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0,0.7498518214829728,0.7498518214829728,1.0,Th17p_DFMO,Th17n_Vehicle
82,KEGG_MM_MTOR_SIGNALING_PATHWAY,0,0.6333305963030247,0.6333305963030247,1.0,Th17p_DFMO,Th17n_Vehicle
83,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,0,0.011471149157738822,0.011471149157738822,0.017726287330786458,Th17p_DFMO,Th17n_Vehicle
84,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,0,0.6062842258737048,0.6062842258737048,0.9402268743495956,Th17p_DFMO,Th17n_Vehicle
85,KEGG_MM_INSULIN_SIGNALING_PATHWAY,0,0.9556505799825883,0.9556505799825883,1.0,Th17p_DFMO,Th17n_Vehicle
86,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0,0.2197256991382552,0.2197256991382552,0.3421742689444189,Th17p_DFMO,Th17n_Vehicle
87,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,1,0.8279954863989121,0.8279954863989121,1.0,Th17p_DFMO,Th17n_DFMO
88,KEGG_MM_CITRATE_CYCLE,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
89,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
90,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,1,0.05919888983550848,0.05919888983550848,0.08998782904524003,Th17p_DFMO,Th17n_DFMO
91,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,1,0.2832581409540028,0.2832581409540028,0.4300778056369676,Th17p_DFMO,Th17n_DFMO
92,KEGG_MM_GALACTOSE_METABOLISM,1,0.1954757145395696,0.1954757145395696,0.29627852203732674,Th17p_DFMO,Th17n_DFMO
93,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,1,0.5129611605973209,0.5129611605973209,0.777033446987236,Th17p_DFMO,Th17n_DFMO
94,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
95,KEGG_MM_FATTY_ACID_METABOLISM,1,0.3607300755288908,0.3607300755288908,0.5213208732726495,Th17p_DFMO,Th17n_DFMO
96,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
97,KEGG_MM_STEROID_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
98,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
99,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,1,0.4527375847018868,0.4527375847018868,0.6638455595909689,Th17p_DFMO,Th17n_DFMO
100,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,1,0.8906738644013317,0.8906738644013317,1.0,Th17p_DFMO,Th17n_DFMO
101,KEGG_MM_PURINE_METABOLISM,1,0.16132857904362863,0.16132857904362863,0.23722117819936378,Th17p_DFMO,Th17n_DFMO
102,KEGG_MM_CAFFEINE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
103,KEGG_MM_PYRIMIDINE_METABOLISM,1,0.7427525814292489,0.7427525814292489,1.0,Th17p_DFMO,Th17n_DFMO
104,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1,0.6065306815841415,0.6065306815841415,1.0,Th17p_DFMO,Th17n_DFMO
105,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,1,0.6463522037648661,0.6463522037648661,0.95687989326506,Th17p_DFMO,Th17n_DFMO
106,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,1,0.6463522037648661,0.6463522037648661,0.9574229579036894,Th17p_DFMO,Th17n_DFMO
107,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
108,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
109,KEGG_MM_LYSINE_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
110,KEGG_MM_LYSINE_DEGRADATION,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
111,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,1,0.7812594054258105,0.7812594054258105,1.0,Th17p_DFMO,Th17n_DFMO
112,KEGG_MM_HISTIDINE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
113,KEGG_MM_TYROSINE_METABOLISM,1,0.3222702091485037,0.3222702091485037,0.48146837199633347,Th17p_DFMO,Th17n_DFMO
114,KEGG_MM_PHENYLALANINE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
115,KEGG_MM_TRYPTOPHAN_METABOLISM,1,0.7143304216686046,0.7143304216686046,1.0,Th17p_DFMO,Th17n_DFMO
116,KEGG_MM_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
117,KEGG_MM_BETA-ALANINE_METABOLISM,1,0.5622342786321716,0.5622342786321716,1.0,Th17p_DFMO,Th17n_DFMO
118,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,1,0.026969371922819448,0.026969371922819448,0.08026232693108182,Th17p_DFMO,Th17n_DFMO
119,KEGG_MM_SELENOCOMPOUND_METABOLISM,1,0.36418802577708775,0.36418802577708775,1.0,Th17p_DFMO,Th17n_DFMO
120,KEGG_MM_CYANOAMINO_ACID_METABOLISM,1,0.14767506789288337,0.14767506789288337,0.43799082636412,Th17p_DFMO,Th17n_DFMO
121,KEGG_MM_D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
122,KEGG_MM_D-ARGININE_AND_D-ORNITHINE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
123,KEGG_MM_GLUTATHIONE_METABOLISM,1,0.17549155211357628,0.17549155211357628,0.49303869861833594,Th17p_DFMO,Th17n_DFMO
124,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,1,0.7566059145426246,0.7566059145426246,1.0,Th17p_DFMO,Th17n_DFMO
125,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,1,0.37966083008456447,0.37966083008456447,1.0,Th17p_DFMO,Th17n_DFMO
126,KEGG_MM_OTHER_GLYCAN_DEGRADATION,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
127,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,1,0.4862863199556701,0.4862863199556701,0.6261506142497775,Th17p_DFMO,Th17n_DFMO
128,KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
129,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
130,KEGG_MM_BUTIROSIN_AND_NEOMYCIN_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
131,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,1,0.4284826360178883,0.4284826360178883,0.5555587083987523,Th17p_DFMO,Th17n_DFMO
132,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_DERMATAN_SULFATE,1,0.41304461142044535,0.41304461142044535,0.5358083676974962,Th17p_DFMO,Th17n_DFMO
133,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,1,0.329382386845258,0.329382386845258,0.4274928044088132,Th17p_DFMO,Th17n_DFMO
134,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
135,KEGG_MM_GLYCEROLIPID_METABOLISM,1,0.0006330487316734465,0.0006330487316734465,0.0028099612069178493,Th17p_DFMO,Th17n_DFMO
136,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,1,0.07633899800230294,0.07633899800230294,0.09917609994326067,Th17p_DFMO,Th17n_DFMO
137,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,1,0.09163737840760051,0.09163737840760051,0.404692990937119,Th17p_DFMO,Th17n_DFMO
138,KEGG_MM_ETHER_LIPID_METABOLISM,1,0.29304457187155963,0.29304457187155963,1.0,Th17p_DFMO,Th17n_DFMO
139,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,1,0.7325963522745937,0.7325963522745937,1.0,Th17p_DFMO,Th17n_DFMO
140,KEGG_MM_LINOLEIC_ACID_METABOLISM,1,0.7432579874672658,0.7432579874672658,0.9684989252568965,Th17p_DFMO,Th17n_DFMO
141,KEGG_MM_ALPHA-LINOLENIC_ACID_METABOLISM,1,0.4862863199556701,0.4862863199556701,0.6377926105951252,Th17p_DFMO,Th17n_DFMO
142,KEGG_MM_SPHINGOLIPID_METABOLISM,1,0.022167415179903734,0.022167415179903734,0.029147079909092568,Th17p_DFMO,Th17n_DFMO
143,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_NEOLACTO_SERIES,1,0.13930249230545758,0.13930249230545758,0.18325579884941748,Th17p_DFMO,Th17n_DFMO
144,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
145,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
146,KEGG_MM_PYRUVATE_METABOLISM,1,0.31255622590682364,0.31255622590682364,1.0,Th17p_DFMO,Th17n_DFMO
147,KEGG_MM_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
148,KEGG_MM_PROPANOATE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
149,KEGG_MM_BUTANOATE_METABOLISM,1,0.5622342786321716,0.5622342786321716,1.0,Th17p_DFMO,Th17n_DFMO
150,KEGG_MM_THIAMINE_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
151,KEGG_MM_RIBOFLAVIN_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
152,KEGG_MM_VITAMIN_B6_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
153,KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1,0.5504033572098296,0.5504033572098296,1.0,Th17p_DFMO,Th17n_DFMO
154,KEGG_MM_PANTOTHENATE_AND_COA_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
155,KEGG_MM_BIOTIN_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
156,KEGG_MM_LIPOIC_ACID_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
157,KEGG_MM_FOLATE_BIOSYNTHESIS,1,0.29267508943928566,0.29267508943928566,1.0,Th17p_DFMO,Th17n_DFMO
158,KEGG_MM_RETINOL_METABOLISM,1,0.3728965780477801,0.3728965780477801,1.0,Th17p_DFMO,Th17n_DFMO
159,KEGG_MM_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,1,0.6821501597212104,0.6821501597212104,0.848623411283298,Th17p_DFMO,Th17n_DFMO
160,KEGG_MM_TERPENOID_BACKBONE_BIOSYNTHESIS,1,0.4435153345223225,0.4435153345223225,0.5522781598775103,Th17p_DFMO,Th17n_DFMO
161,KEGG_MM_SULFUR_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
162,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
163,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,1,0.10870566021268574,0.10870566021268574,0.13627366626085963,Th17p_DFMO,Th17n_DFMO
164,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
165,KEGG_MM_METABOLIC_PATHWAYS,1,0.2738699371939893,0.2738699371939893,0.3438194016721078,Th17p_DFMO,Th17n_DFMO
166,KEGG_MM_2-OXOCARBOXYLIC_ACID_METABOLISM,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
167,KEGG_MM_RNA_DEGRADATION,1,0.0,0.0,0.0,Th17p_DFMO,Th17n_DFMO
168,KEGG_MM_HIF-1_SIGNALING_PATHWAY,1,0.5733984238062718,0.5733984238062718,1.0,Th17p_DFMO,Th17n_DFMO
169,KEGG_MM_MTOR_SIGNALING_PATHWAY,1,0.808600472959667,0.808600472959667,1.0,Th17p_DFMO,Th17n_DFMO
170,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,1,0.04919837836758317,0.04919837836758317,0.06188326146476726,Th17p_DFMO,Th17n_DFMO
171,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,0.0692874867770559,0.0692874867770559,0.08727815660623355,Th17p_DFMO,Th17n_DFMO
172,KEGG_MM_INSULIN_SIGNALING_PATHWAY,1,0.7157259776498001,0.7157259776498001,0.9020013528082946,Th17p_DFMO,Th17n_DFMO
173,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,1,0.5524454889798882,0.5524454889798882,0.6965617034963808,Th17p_DFMO,Th17n_DFMO
174,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,2,0.4894663310850024,0.4894663310850024,0.6180489231407142,Th17p_DFMO,iTreg_Vehicle
175,KEGG_MM_CITRATE_CYCLE,2,0.0,0.0,0.0,Th17p_DFMO,iTreg_Vehicle
176,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,2,0.5292961173086751,0.5292961173086751,1.0,Th17p_DFMO,iTreg_Vehicle
177,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,2,0.05138682946672994,0.05138682946672994,0.06494897089983785,Th17p_DFMO,iTreg_Vehicle
178,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,2,0.26104217805956526,0.26104217805956526,0.33073790521139096,Th17p_DFMO,iTreg_Vehicle
179,KEGG_MM_GALACTOSE_METABOLISM,2,0.17876472249163983,0.17876472249163983,0.2277090901430844,Th17p_DFMO,iTreg_Vehicle
180,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,2,0.1436552449593065,0.1436552449593065,0.18325522450820625,Th17p_DFMO,iTreg_Vehicle
181,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,2,0.0,0.0,0.0,Th17p_DFMO,iTreg_Vehicle
182,KEGG_MM_FATTY_ACID_METABOLISM,2,0.3346030893814908,0.3346030893814908,1.0,Th17p_DFMO,iTreg_Vehicle
